"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"11",11,"9697","To ask the Minister for the Cabinet Office, if he will publish the number of his Department's employees who have been employed other than in his Department's payroll in each year since 2010-11.","<p>The number of non-payroll employees (staff loaned or seconded in who remain on their parent organisation payroll) in my Department in each year since 2010-11 is shown in the table below:</p><p><strong> </strong></p><table><tbody><tr><td><p>2010/11</p></td><td><p>2011/12</p></td><td><p>2012/13</p></td><td><p>2013/14</p></td><td><p>2014/15</p></td><td><p>2015/16</p></td><td><p>2016/17</p></td></tr><tr><td><p>93</p></td><td><p>136</p></td><td><p>181</p></td><td><p>186</p></td><td><p>127</p></td><td><p>127</p></td><td><p>121</p></td></tr></tbody></table><p><strong> </strong></p><p>Audited information about the numbers of contractors working in the Department is published in the Cabinet Office Annual Report and Accounts. These are available on the Cabinet Office website at <a href=""https://www.gov.uk/government/collections/cabinet-office-annual-reports-and-accounts"" target=""_blank"">https://www.gov.uk/government/collections/cabinet-office-annual-reports-and-accounts</a></p><p><strong> </strong></p><p>My Department seeks to make the best use of staff and resources to deliver the Government’s objectives in a way that represents value for money for the taxpayer. This includes interchange with other Government Departments and other sectors, and an appropriate mix of employment contract types that meet the needs of the business.</p><p><strong> </strong></p>","Siddiq, Tulip","Labour","Hampstead and Kilburn","Nokes, Caroline",2017-09-08,2017-09-13,8,"payroll, engaged, staff"
"12",12,"9641","To ask the Minister for the Cabinet Office, when he plans to publish the findings of his Department's economic crime review.","<p>The Government is committed to strengthening the UK's response to bribery, corruption, money laundering, fraud and other forms of economic crime. The Government is continuing to review options to improve the effectiveness of the UK's response to economic crime, and any measures resulting from this work will be announced in due course.</p>","Trickett, Jon","Labour","Hemsworth","Skidmore, Chris",2017-09-08,2017-09-13,9,"findings, publish, review"
"13",13,"9674","To ask the Minister for the Cabinet Office, what services his Department has received from the Behavioural Insights Team since 2014.","<p>The Cabinet Office has received services from the Behavioural Insights Team (BIT) since 2014. This has enabled the department to add to its evidence base to support priority government areas.</p><p> </p><p>Since January 2011, details of central government contracts above the value of £10,000 are published on Contracts Finder. Contracts published prior to 26 February 2015 can be viewed at:</p><p><a href=""https://data.gov.uk/data/contracts-finder-archive"" target=""_blank"">https://data.gov.uk/data/contracts-finder-archive</a></p><p>Those published after 26 February 2015 can be viewed at:</p><p><a href=""https://www.contractsfinder.service.gov.uk/Search"" target=""_blank"">https://www.contractsfinder.service.gov.uk/Search</a></p><p> </p><p>BIT was made into a social purpose company in 2014 and is part owned by the Cabinet Office.</p><p> </p><p>BIT’s Articles of Association restricts the type of work that the organisation can undertake to that which promotes the public good. The Articles of Association can be viewed here:</p><p><a href=""https://beta.companieshouse.gov.uk/company/08567792"" target=""_blank"">https://beta.companieshouse.gov.uk/company/08567792</a></p><p> </p><p>The Cabinet Office has a representative Board member on BIT’s Board, which meets regularly (on average once per month) and is provided with detailed information on BIT’s clients via the monthly Board pack.</p><p> </p><p>The Crown Commercial Service Behavioural Insights Consulting and Research Framework Agreement contains a conflicts of interest provision. This can be viewed at:</p><p><a href=""https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742"" target=""_blank"">https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742</a></p><p> </p><p>We are not in a position to provide information about staff or organisational decisions of Behavioural Insights Team Limited, due to commercial confidentiality.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-08,2017-09-14,5,"insights, behavioural, team"
"14",14,"HL1472","To ask Her Majesty's Government what action they intend to take, if any, to review the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Act 2014 following Bell Pottinger's expulsion from the Public Relations and Communications Association.","<p>The Government is of the view that the Transparency of Lobbying Act 2014 has increased transparency around the work of consultant lobbyists. This legislation complements the existing framework of industry-led regulation such as subscription to industry codes of conduct, alongside the publication of ministerial diaries. Therefore, the Government has no plans to review the current legislation to expand the remit of the Registrar or her office.</p>","Lord Hain","Not found",NA,"Lord Young of Cookham",2017-09-08,2017-09-14,10,"nonparty, transparency, lobby"
"15",15,"HL1473","To ask Her Majesty's Government whether they will review the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Act 2014, in the light of the Registrar's inability to remove organisations such as Bell Pottinger from the Register of Consultant Lobbyists.","<p>The Transparency of Lobbying Act 2014 does not confer powers on the Registrar to remove consultant lobbyists from the Register unless they cease to be consultant lobbyists. The Government position continues to be that the current regulations are designed to complement rather than replace existing industry-led self-regulation.</p>","Lord Hain","Not found",NA,"Lord Young of Cookham",2017-09-08,2017-09-14,10,"nonparty, transparency, lobby"
"16",16,"HL1424","To ask Her Majesty's Government what assessment they have made of the main recommendations put forward by the Joint Committee on the Palace of Westminster in its report of September 2016; and when they intend to bring forward a motion for both Houses to debate and decide how the restoration and renewal works should progress.","<p>The Government is grateful for the valuable work conducted by the Joint Committee on the Palace of Westminster and has considered the recommendations in its report carefully. It intends to bring forward a motion in both Houses to debate this important matter in the Autumn.</p>","Baroness Stowell of Beeston","Not found",NA,"Lord Young of Cookham",2017-09-07,2017-09-14,11,"motion, debate, intend"
"17",17,"9360","To ask the Minister for the Cabinet Office, if he will list the occasions that the (a) Welsh and (b) Scottish Governments have initiated the formal dispute resolution process with the Government.","<p>The formal dispute resolution process has been used by the Welsh and Scottish Governments in the following instances:</p><ul><li><p>In 2010/11 by the Welsh Government</p></li><li><p>In 2010/11 by the Scottish Government</p></li></ul><p>In 2011/12 by the Welsh and Scottish Governments with the Northern Ireland Executive<strong><br></strong></p>","Ruane, Chris","Labour","Vale of Clwyd","Green, Damian",2017-09-07,2017-09-14,12,"welsh, language, request"
"18",18,"9388","To ask the Minister for the Cabinet Office, what the cost to the public purse has been of the current  Boundary Review (a) up to 3 May 2017 and (b) from that date to the most recent date for which figures are available.","<p>I refer the honourable lady to my answer, given on 11<sup>th</sup> July 2017, to PQ3035.</p>","Huq, Dr Rupa","Labour","Ealing Central and Acton","Skidmore, Chris",2017-09-07,2017-09-15,13,"boundaries, review, 2018"
"19",19,"9393","To ask the Minister for the Cabinet Office, what plans he has to review UK cyber-security capabilities.","<p>The National Cyber Security Strategy sets out objectives focused on defending against cyber threats, deterring adversaries and developing the skills and capabilities required to make the UK more cyber secure.</p><p>Cabinet Office have implemented a comprehensive framework for assessing performance against the objectives of the strategy.</p>","Simpson, David","Democratic Unionist Party","Upper Bann","Nokes, Caroline",2017-09-07,2017-09-15,14,"capabl, cyber, bain"
"20",20,"9408","To ask the Minister for the Cabinet Office, how many Cabinet Office staff do not meet the eligibility criteria for the Civil Service Pension Scheme.","<p>Information about the number of Cabinet Office staff that do not meet the eligibility criteria for the Civil Service Pension Scheme is not held centrally, and could only be provided at disproportionate cost.</p><p><strong></strong><br><br></p>","Siddiq, Tulip","Labour","Hampstead and Kilburn","Nokes, Caroline",2017-09-07,2017-09-13,15,"criteria, eligibility, destinations"
"21",21,"9402","To ask the Minister for the Cabinet Office, what proportion of steel procured by Government departments has been supplied by British companies in each year since 2010.","<p>This information is not held centrally.</p><p>The Government has published details of upcoming steel requirements for national infrastructure projects. The data shows how the government plans to use three million tonnes of steel until 2020 on infrastructure projects such as High Speed 2 (HS2) and the maintenance and upgrading of the UK’s motorway network. We have introduced public procurement guidelines that help UK steel suppliers to compete effectively with international suppliers for major projects.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-07,2017-09-15,7,"steel, procured, british"
"22",22,"9482","To ask the Minister for the Cabinet Office, if it is still the Government's policy to proceed with the 2018 Boundary Review.","<p>The current boundary review is proceeding in accordance with legislation passed in the 2010-15 Parliament under which the four Boundary Commissions are required to submit their final reports in September 2018.</p><p>These reforms will ensure fair and equal representation for the voting public across the United Kingdom.</p><p>I have had no discussions with officials from the four Boundary Commissions on the current boundary review.</p>","West, Catherine","Labour","Hornsey and Wood Green","Skidmore, Chris",2017-09-07,2017-09-15,13,"boundaries, review, 2018"
"23",23,"9483","To ask the Minister for the Cabinet Office, what recent discussions he has had with officials from the Boundary Commission on the 2018 Boundary Review.","<p>The current boundary review is proceeding in accordance with legislation passed in the 2010-15 Parliament under which the four Boundary Commissions are required to submit their final reports in September 2018.</p><p>These reforms will ensure fair and equal representation for the voting public across the United Kingdom.</p><p>I have had no discussions with officials from the four Boundary Commissions on the current boundary review.</p>","West, Catherine","Labour","Hornsey and Wood Green","Skidmore, Chris",2017-09-07,2017-09-15,13,"boundaries, review, 2018"
"24",24,"9523","To ask the Minister for the Cabinet Office, how many expressions of interest have been received from local authorities to run ID pilots at the 2018 local elections; and with reference to paragraph 5.6 of his Department's Electoral Integrity Pilots Prospectus, what evidence his Department will accept as a demonstration of local support for such a pilot.","<p>The opportunity to pilot voter ID in May 2018 was offered on a number of occasions to all local authorities in Great Britain and a number have committed to do so. We will make an announcement in due course of which local authorities will pilot voter ID in May 2018. The decision to pilot is one for the leadership of each local authority and we have received confirmation from each pilot authority leader that the criteria for participation have been met.</p>","Trickett, Jon","Labour","Hemsworth","Skidmore, Chris",2017-09-07,2017-09-13,16,"2018, pilot, identification"
"25",25,"9544","To ask the Minister for the Cabinet Office, when he plans to publish the new anti-corruption strategy.","<p>The Government is working on a new Anti-Corruption Strategy which will be published in due course.</p>","Trickett, Jon","Labour","Hemsworth","Skidmore, Chris",2017-09-07,2017-09-14,17,"anticorruption, strategy, tsar"
"26",26,"9545","To ask the Minister for the Cabinet Office, if he will place in the Library a copy of any written advice given by his Department's Head of Propriety and Ethics to Ministers on the timing and length of campaigns for the 2017 General Election.","<p>It is a well-established convention that government does not routinely make public civil servants’ advice to Ministers.</p>","Trickett, Jon","Labour","Hemsworth","Skidmore, Chris",2017-09-07,2017-09-12,18,"ethical, propriety, northfield"
"27",27,"9546","To ask the Minister for the Cabinet Office, how many 11 to 15-year olds have completed a CyberFirst course in the last 12 months.","<p>The CyberFirst programme covers a range of activities; a bursary scheme, girls only online competition and development events for students aged between 11-17. In the last 12 months over 8000 girls aged between the ages of 13-15 participated in an online CyberFirst girls competition and a further 442 14-15 year olds (boys and girls) participated in a range of four day residential/non-residential CyberFirst events over the summer.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-07,2017-09-15,19,"course, completed, olds"
"28",28,"9563","To ask the Minister for the Cabinet Office, what assessment his Department has made of trends in the level of procurement of British steel since the Government's procurement policy note 11/6 on procuring steel in major projects was published.","<p>Last December, the Government issued updated guidance on how to ensure that public sector contracting authorities take full account of the value provided by UK steel producers when conducting their procurement activities; and extended this guidance to the wider public sector. All central departments, their agencies and arm’s length bodies are already required to apply these guidelines on relevant projects.</p><p> </p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-07,2017-09-13,20,"major, project, leadership"
"29",29,"9560","To ask the Minister for the Cabinet Office, if he will bring forward proposals to allow people to register for a postal vote online.","<p>The Government has made a manifesto commitment to reform the postal vote system, as part of continued work to ensure that our electoral systems are the most secure in the world. Any decision of allowing applications to be made online will be part of that consideration.</p>","Morris, Grahame","Labour","Easington","Skidmore, Chris",2017-09-07,2017-09-15,21,"online, vote, register"
"30",30,"9549","To ask the Minister for the Cabinet Office, how many and what proportion of Welsh workers were on zero-hours contracts in each year for which data is available.","<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p>","Ruane, Chris","Labour","Vale of Clwyd","Skidmore, Chris",2017-09-07,2017-09-14,22,"zero, hour, contract"
"31",31,"9378","To ask the Minister for the Cabinet Office, whether he has plans to remove drugs questions on illegal drugs from the Crime Survey for England and Wales.","<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p><strong> </strong></p>","Haigh, Louise","Labour","Sheffield, Heeley","Skidmore, Chris",2017-09-07,2017-09-12,23,"survey, crime, wales"
"32",32,"9181","To ask the Minister for the Cabinet Office, how much his Department paid to the Behavioural Insights Team in each year since 2014.","<p>The Cabinet Office has received services from the Behavioural Insights Team (BIT) since 2014. This has enabled the department to add to its evidence base to support priority government areas.</p><p> </p><p>Since January 2011, details of central government contracts above the value of £10,000 are published on Contracts Finder. Contracts published prior to 26 February 2015 can be viewed at:</p><p><a href=""https://data.gov.uk/data/contracts-finder-archive"" target=""_blank"">https://data.gov.uk/data/contracts-finder-archive</a></p><p>Those published after 26 February 2015 can be viewed at:</p><p><a href=""https://www.contractsfinder.service.gov.uk/Search"" target=""_blank"">https://www.contractsfinder.service.gov.uk/Search</a></p><p> </p><p>BIT was made into a social purpose company in 2014 and is part owned by the Cabinet Office.</p><p> </p><p>BIT’s Articles of Association restricts the type of work that the organisation can undertake to that which promotes the public good. The Articles of Association can be viewed here:</p><p><a href=""https://beta.companieshouse.gov.uk/company/08567792"" target=""_blank"">https://beta.companieshouse.gov.uk/company/08567792</a></p><p> </p><p>The Cabinet Office has a representative Board member on BIT’s Board, which meets regularly (on average once per month) and is provided with detailed information on BIT’s clients via the monthly Board pack.</p><p> </p><p>The Crown Commercial Service Behavioural Insights Consulting and Research Framework Agreement contains a conflicts of interest provision. This can be viewed at:</p><p><a href=""https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742"" target=""_blank"">https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742</a></p><p> </p><p>We are not in a position to provide information about staff or organisational decisions of Behavioural Insights Team Limited, due to commercial confidentiality.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-06,2017-09-14,5,"insights, behavioural, team"
"33",33,"9122","To ask the Minister for the Cabinet Office, if he will make an assessment of the merits of including housing associations in the list of bodies subject to freedom of information requests in response to the Grenfell Tower tragedy.","<p>Housing Associations do not meet the conditions for inclusion within Schedule 1 of the FOI Act. However the Government keeps the scope of the Act under constant review.</p><p> </p>","Foxcroft, Vicky","Labour","Lewisham, Deptford","Nokes, Caroline",2017-09-06,2017-09-14,24,"grenfell, tower, fire"
"34",34,"9109","To ask the Minister for the Cabinet Office, what model the Boundary Commission will employ in its new review of constituency boundaries.","<p>The rules for boundary Reviews are set out in the Parliamentary Constituencies Act 1986, as amended by the Parliamentary Voting System and Constituencies Act 2011.</p><p> </p><p>The rules stipulate that the number of constituencies is 600 and that all constituencies, subject to a limited number of exceptions, must be between 95% and 105% of the United Kingdom electoral quota, which is the average number of electors per constituency. Reviews are to be conducted every five years.</p><p>The rules are designed to ensure that there is fairness in the setting of parliamentary constituencies and having seats of an equal size will ensure everyone’s vote will carry equal weight.</p><p> </p>","Williams, Hywel","Plaid Cymru","Arfon","Skidmore, Chris",2017-09-06,2017-09-12,25,"model, new, property"
"35",35,"9111","To ask the Minister for the Cabinet Office, what model the Boundary Commission will employ in its new review of constituency boundaries in Wales.","<p>The rules for boundary Reviews are set out in the Parliamentary Constituencies Act 1986, as amended by the Parliamentary Voting System and Constituencies Act 2011.</p><p> </p><p>The rules stipulate that the number of constituencies is 600 and that all constituencies, subject to a limited number of exceptions, must be between 95% and 105% of the United Kingdom electoral quota, which is the average number of electors per constituency. Reviews are to be conducted every five years.</p><p>The rules are designed to ensure that there is fairness in the setting of parliamentary constituencies and having seats of an equal size will ensure everyone’s vote will carry equal weight.</p><p> </p>","Williams, Hywel","Plaid Cymru","Arfon","Skidmore, Chris",2017-09-06,2017-09-12,25,"model, new, property"
"36",36,"9054","To ask the Minister for the Cabinet Office, with reference to his oral contribution of 5 September 2016, Official Report, column 65, when the Joint Ministerial Committee will next meet.","<p>It is my intention to reconvene the Joint Ministerial Committee (EU Negotiations) in the autumn and we are working with the devolved administrations to secure a date in October. The UK Government is committed to consultation with the devolved administrations, both within the formal structures of the Joint Ministerial Committee and also through bilateral discussions.</p>","Linden, David","Scottish National Party","Glasgow East","Green, Damian",2017-09-06,2017-09-11,26,"oral, reference, official"
"37",37,"9055","To ask the Minister for the Cabinet Office, with reference to his oral contribution of 5 September 2016, Official Report, column 65, what mechanisms are being considered as an alternative to the Joint Ministerial Committee; and if he will make a statement.","<p>It is my intention to reconvene the Joint Ministerial Committee (EU Negotiations) in the autumn and we are working with the devolved administrations to secure a date in October. The UK Government is committed to consultation with the devolved administrations, both within the formal structures of the Joint Ministerial Committee and also through bilateral discussions.</p>","Linden, David","Scottish National Party","Glasgow East","Green, Damian",2017-09-06,2017-09-11,26,"oral, reference, official"
"38",38,"9199","To ask the Minister for the Cabinet Office, what the total cost was of the privatisation of the Behavioural Insights Team.","<p>The Cabinet Office has received services from the Behavioural Insights Team (BIT) since 2014. This has enabled the department to add to its evidence base to support priority government areas.</p><p> </p><p>Since January 2011, details of central government contracts above the value of £10,000 are published on Contracts Finder. Contracts published prior to 26 February 2015 can be viewed at:</p><p><a href=""https://data.gov.uk/data/contracts-finder-archive"" target=""_blank"">https://data.gov.uk/data/contracts-finder-archive</a></p><p>Those published after 26 February 2015 can be viewed at:</p><p><a href=""https://www.contractsfinder.service.gov.uk/Search"" target=""_blank"">https://www.contractsfinder.service.gov.uk/Search</a></p><p> </p><p>BIT was made into a social purpose company in 2014 and is part owned by the Cabinet Office.</p><p> </p><p>BIT’s Articles of Association restricts the type of work that the organisation can undertake to that which promotes the public good. The Articles of Association can be viewed here:</p><p><a href=""https://beta.companieshouse.gov.uk/company/08567792"" target=""_blank"">https://beta.companieshouse.gov.uk/company/08567792</a></p><p> </p><p>The Cabinet Office has a representative Board member on BIT’s Board, which meets regularly (on average once per month) and is provided with detailed information on BIT’s clients via the monthly Board pack.</p><p> </p><p>The Crown Commercial Service Behavioural Insights Consulting and Research Framework Agreement contains a conflicts of interest provision. This can be viewed at:</p><p><a href=""https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742"" target=""_blank"">https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742</a></p><p> </p><p>We are not in a position to provide information about staff or organisational decisions of Behavioural Insights Team Limited, due to commercial confidentiality.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-06,2017-09-14,5,"insights, behavioural, team"
"39",39,"9200","To ask the Minister for the Cabinet Office, what the total cost to his Department was of (a) legal advice and (b) consultants with regard the privatisation of the Behavioural Insights Team.","<p>The Cabinet Office has received services from the Behavioural Insights Team (BIT) since 2014. This has enabled the department to add to its evidence base to support priority government areas.</p><p> </p><p>Since January 2011, details of central government contracts above the value of £10,000 are published on Contracts Finder. Contracts published prior to 26 February 2015 can be viewed at:</p><p><a href=""https://data.gov.uk/data/contracts-finder-archive"" target=""_blank"">https://data.gov.uk/data/contracts-finder-archive</a></p><p>Those published after 26 February 2015 can be viewed at:</p><p><a href=""https://www.contractsfinder.service.gov.uk/Search"" target=""_blank"">https://www.contractsfinder.service.gov.uk/Search</a></p><p> </p><p>BIT was made into a social purpose company in 2014 and is part owned by the Cabinet Office.</p><p> </p><p>BIT’s Articles of Association restricts the type of work that the organisation can undertake to that which promotes the public good. The Articles of Association can be viewed here:</p><p><a href=""https://beta.companieshouse.gov.uk/company/08567792"" target=""_blank"">https://beta.companieshouse.gov.uk/company/08567792</a></p><p> </p><p>The Cabinet Office has a representative Board member on BIT’s Board, which meets regularly (on average once per month) and is provided with detailed information on BIT’s clients via the monthly Board pack.</p><p> </p><p>The Crown Commercial Service Behavioural Insights Consulting and Research Framework Agreement contains a conflicts of interest provision. This can be viewed at:</p><p><a href=""https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742"" target=""_blank"">https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742</a></p><p> </p><p>We are not in a position to provide information about staff or organisational decisions of Behavioural Insights Team Limited, due to commercial confidentiality.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-06,2017-09-14,5,"insights, behavioural, team"
"40",40,"9201","To ask the Minister for the Cabinet Office, how many staff external to the Civil Service have been seconded into the Behavioural Insights Team and from which firms in each year for which figures are available.","<p>The Cabinet Office has received services from the Behavioural Insights Team (BIT) since 2014. This has enabled the department to add to its evidence base to support priority government areas.</p><p> </p><p>Since January 2011, details of central government contracts above the value of £10,000 are published on Contracts Finder. Contracts published prior to 26 February 2015 can be viewed at:</p><p><a href=""https://data.gov.uk/data/contracts-finder-archive"" target=""_blank"">https://data.gov.uk/data/contracts-finder-archive</a></p><p>Those published after 26 February 2015 can be viewed at:</p><p><a href=""https://www.contractsfinder.service.gov.uk/Search"" target=""_blank"">https://www.contractsfinder.service.gov.uk/Search</a></p><p> </p><p>BIT was made into a social purpose company in 2014 and is part owned by the Cabinet Office.</p><p> </p><p>BIT’s Articles of Association restricts the type of work that the organisation can undertake to that which promotes the public good. The Articles of Association can be viewed here:</p><p><a href=""https://beta.companieshouse.gov.uk/company/08567792"" target=""_blank"">https://beta.companieshouse.gov.uk/company/08567792</a></p><p> </p><p>The Cabinet Office has a representative Board member on BIT’s Board, which meets regularly (on average once per month) and is provided with detailed information on BIT’s clients via the monthly Board pack.</p><p> </p><p>The Crown Commercial Service Behavioural Insights Consulting and Research Framework Agreement contains a conflicts of interest provision. This can be viewed at:</p><p><a href=""https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742"" target=""_blank"">https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742</a></p><p> </p><p>We are not in a position to provide information about staff or organisational decisions of Behavioural Insights Team Limited, due to commercial confidentiality.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-06,2017-09-14,5,"insights, behavioural, team"
"41",41,"9202","To ask the Minister for the Cabinet Office, how many hours civil servants of his Department spent on the privatisation of the Behavioural Insights Team; and what the estimated cost was of staff time spent on that privatisation.","<p>The Cabinet Office has received services from the Behavioural Insights Team (BIT) since 2014. This has enabled the department to add to its evidence base to support priority government areas.</p><p> </p><p>Since January 2011, details of central government contracts above the value of £10,000 are published on Contracts Finder. Contracts published prior to 26 February 2015 can be viewed at:</p><p><a href=""https://data.gov.uk/data/contracts-finder-archive"" target=""_blank"">https://data.gov.uk/data/contracts-finder-archive</a></p><p>Those published after 26 February 2015 can be viewed at:</p><p><a href=""https://www.contractsfinder.service.gov.uk/Search"" target=""_blank"">https://www.contractsfinder.service.gov.uk/Search</a></p><p> </p><p>BIT was made into a social purpose company in 2014 and is part owned by the Cabinet Office.</p><p> </p><p>BIT’s Articles of Association restricts the type of work that the organisation can undertake to that which promotes the public good. The Articles of Association can be viewed here:</p><p><a href=""https://beta.companieshouse.gov.uk/company/08567792"" target=""_blank"">https://beta.companieshouse.gov.uk/company/08567792</a></p><p> </p><p>The Cabinet Office has a representative Board member on BIT’s Board, which meets regularly (on average once per month) and is provided with detailed information on BIT’s clients via the monthly Board pack.</p><p> </p><p>The Crown Commercial Service Behavioural Insights Consulting and Research Framework Agreement contains a conflicts of interest provision. This can be viewed at:</p><p><a href=""https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742"" target=""_blank"">https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3742</a></p><p> </p><p>We are not in a position to provide information about staff or organisational decisions of Behavioural Insights Team Limited, due to commercial confidentiality.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-06,2017-09-14,5,"insights, behavioural, team"
