Question_MP,Question_Text,Question_ID,MP_Constituency,Question_Date,Answer_Text,Answer_MP,Answer_Date,Party
"Flynn, Paul","To ask the Minister for the Cabinet Office, which government policies announced since the Coalition Agreement have not been implemented; and what the reason is for not implementing each such policy.",211406,Newport West,2014-10-22,"<p>I refer the Hon Gentlemen to Departmental Business Plans which record all commitments, timescales for completion and progress against them. The Business Plans are fully transparent and are available at <a href=""http://www.transparency.number10.gov.uk/"" target=""_blank"">www.transparency.number10.gov.uk</a></p><p> </p>","Letwin, Oliver",2014-10-24,Labour
"Flynn, Paul","To ask the Minister for the Cabinet Office, which of the policies outlined in the Coalition Agreement have not been implemented; and what the reason is for not implementing each such policy.",211407,Newport West,2014-10-22,"<p>I refer the Hon Gentlemen to Departmental Business Plans which record all commitments, timescales for completion and progress against them. The Business Plans are fully transparent and are available at <a href=""http://www.transparency.number10.gov.uk/"" target=""_blank"">www.transparency.number10.gov.uk</a></p><p> </p>","Letwin, Oliver",2014-10-24,Labour
"Stephenson, Andrew","To ask the Minister for the Cabinet Office, what estimate he has made of the level of youth unemployment in Pendle constituency in each of the last five years; and if he will make a statement.",211614,Pendle,2014-10-22,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-27,Conservative
Baroness Coussins,To ask Her Majesty’s Government what plans they have to conduct a comprehensive audit of the foreign language skills currently possessed by civil servants across all departments and government agencies.,HL2343,NA,2014-10-23,"<p>I refer my noble friend to the answer provided by The Minister of State, Foreign and Commonwealth Office on 3 November, <em>Official Report</em>, Column WA188.</p><p>There are currently no plans for a formal audit across Government to measure the foreign language skills currently possessed by civil servants.</p><p> </p>",Lord Wallace of Saltaire,2014-11-04,Not found
Lord Hunt of Chesterton,"To ask Her Majesty’s Government, when purchasing vehicles for use by government departments, what criteria they apply regarding whether to purchase petrol- or diesel- fuelled cars.",HL2347,NA,2014-10-23,"<p>Public sector procurers are required to seek value for money through fair and open competition and Government will always award contracts on the basis of the best value for money for the taxpayer.</p><p>Crown Commercial Service manages a framework agreement for the supply of diesel, petrol and electric powered vehicles which Government departments use to meet their vehicle requirements.</p><p>Departments decide which fuel is most appropriate based on their individual requirements including whole life costs and may access advice and guidance from Crown Commercial Service as appropriate.</p><p> </p>",Lord Wallace of Saltaire,2014-11-06,Not found
Lord Sharkey,"To ask Her Majesty’s Government what were (1) the average annual gross earnings, and (2) the average gross hourly rate of pay, in the United Kingdom, both in nominal terms and adjusted for inflation, of those who were self-employed for each year or part-year since 1997 for which data available.",HL2352,NA,2014-10-23,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p>,Lord Wallace of Saltaire,2014-11-03,Not found
Lord Sharkey,To ask Her Majesty’s Government how output per hour worked in the United Kingdom compares with output per hour worked in each of the other G7 countries for each year or part year since 1997 for which there are data are available.,HL2353,NA,2014-10-23,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p>,Lord Wallace of Saltaire,2014-11-03,Not found
Lord Jopling,"To ask Her Majesty’s Government, further to the Written Answers by Lord Wallace of Saltaire on 10 July (HL828) and 28 July (HL1115), whether they will now consolidate the replies and list the figures for the birthday honours list for 2012 which have not been supplied with regard to the number of Knighthoods and Damehoods given to those described as professors.",HL2384,NA,2014-10-23,"<p>The information requested concerning the number of honours recipients described as holding the title of professor since the Birthday 2012 Honours List at Knighthood/Damehood and Commander of the Order of the British Empire (CBE) levels is in the public domain, and can be found in The London Gazette at <a href=""http://www.london-gazette.co.uk/"" target=""_blank"">www.london-gazette.co.uk</a>. Percentages are as follows:</p><p> </p><table><tbody><tr><td><p>List</p></td><td><p>Number of recipients at Knight/Dame</p><p> </p></td><td><p>Knight/Dame recipients who described themselves as Professor</p></td><td><p>Percentage of Knight/Dame recipients who described themselves as Professor</p></td></tr><tr><td><p>BD 2012</p></td><td><p>31</p></td><td><p>7</p></td><td><p>23%</p></td></tr><tr><td><p>NY 2013</p></td><td><p>37</p></td><td><p>8</p></td><td><p>22%</p></td></tr><tr><td><p>BD 2013</p></td><td><p>38</p></td><td><p>12</p></td><td><p>32%</p></td></tr><tr><td><p>NY 2014</p></td><td><p>38</p></td><td><p>10</p></td><td><p>26%</p></td></tr><tr><td><p>BD 2014</p></td><td><p>37</p></td><td><p>12</p></td><td><p>32%</p></td></tr></tbody></table><p> </p><table><tbody><tr><td><p>List</p></td><td><p>Number of recipients at CBE</p></td><td><p>CBE recipients who described themselves as Professor</p></td><td><p>Percentage of CBE recipients who described themselves as Professor</p></td></tr><tr><td><p>BD 2012</p></td><td><p>96</p></td><td><p>21</p></td><td><p>22%</p></td></tr><tr><td><p>NY 2013</p></td><td><p>103</p></td><td><p>15</p></td><td><p>15%</p></td></tr><tr><td><p>BD 2013</p></td><td><p>109</p></td><td><p>13</p></td><td><p>13%</p></td></tr><tr><td><p>NY 2014</p></td><td><p>104</p></td><td><p>22</p></td><td><p>22%</p></td></tr><tr><td><p>BD 2014</p></td><td><p>99</p></td><td><p>21</p></td><td><p>21%</p></td></tr></tbody></table><p> </p><p><strong><em> </em></strong></p><p> </p><p><strong><em> </em></strong></p><p><strong><em> </em></strong></p>",Lord Wallace of Saltaire,2014-11-06,Not found
"Anderson, David","To ask the Minister for the Cabinet Office, for what reason his Department's consultation on transposition of the EU public procurement directive was limited to four weeks.",211678,Blaydon,2014-10-23,"<p>This consultation on the draft Public Contracts Regulations 2015 complies with the Government’s Consultation Principles, and formally concludes a long-running period of continuous UK stakeholder engagement that commenced in 2011 when the European Commission’s own consultations began.</p><p>Following the publication of a Procurement Policy note in late 2013, the Cabinet Office engaged with stakeholders interested in specific policy areas. The comprehensive feedback from this exercise meant that a four week consultation period was appropriate and proportionate given the limited scope and impact of the remaining issues on which to consult.</p><p>This consultation attracted a large number of responses, which shows the period allowed was reasonable.</p><p> </p>","Maude, Francis",2014-10-30,Labour
"Ruane, Chris","To ask the Minister for the Cabinet Office, what the fraud level was in each of the last six years.",211712,Vale of Clwyd,2014-10-23,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-28,Labour
"Jones, Kevan","To ask the Minister for the Cabinet Office, how many times the Minister without Portfolio has travelled overseas on an official visit since his appointment to that post; what the (a) purpose and (b) cost of each such visit was; and what the class of travel was for each journey on each such visit.",211797,North Durham,2014-10-23,<p>Details of Ministerial overseas travel is published on a quarterly basis.</p><p> </p>,"Maude, Francis",2014-10-28,Labour
"Onwurah, Chi","To ask the Minister for the Cabinet Office, whether he has received representations on a public sector provider of identity assurance during the Gov.uk Verify programme.",211904,Newcastle upon Tyne Central,2014-10-24,"<p>Information on Verify is published at:</p><p><a href=""https://www.gov.uk/government/publications/introducing-govuk-verify"" target=""_blank"">https://www.gov.uk/government/publications/introducing-govuk-verify</a><br> <br>GOV.UK Verify provides the first opportunity for people to verify their identity entirely digitally. <br> The service has not yet been launched and is still in public beta. Performance data will be published in due course.</p><p>Government Digital Service has not received representations from public sector providers of identity assurance</p><p> </p>","Maude, Francis",2014-10-29,Labour
"Nandy, Lisa","To ask the Minister for the Cabinet Office, whether Lord Wei was an adviser to his Department; and whether he held a pass that allowed him to access the Cabinet Office.",211880,Wigan,2014-10-24,<p>Lord Wei was appointed to advise the Government on aspects of the Big Society. He held a Cabinet Office pass and had three officials assigned to work with him.</p><p> </p>,"Maude, Francis",2014-10-29,Labour
"Onwurah, Chi","To ask the Minister for the Cabinet Office, what progress his Department has made in introducing the Government identity assurance programme, Gov.uk Verify; and if he will make a statement.",211881,Newcastle upon Tyne Central,2014-10-24,"<p>Information on Verify is published at:</p><p><a href=""https://www.gov.uk/government/publications/introducing-govuk-verify"" target=""_blank"">https://www.gov.uk/government/publications/introducing-govuk-verify</a><br> <br>GOV.UK Verify provides the first opportunity for people to verify their identity entirely digitally. <br> The service has not yet been launched and is still in public beta. Performance data will be published in due course.</p><p>Government Digital Service has not received representations from public sector providers of identity assurance</p><p> </p>","Maude, Francis",2014-10-29,Labour
"Nandy, Lisa","To ask the Minister for the Cabinet Office, how many officials in his Department were assigned to work with Lord Wei when he was a government adviser.",211877,Wigan,2014-10-24,<p>Lord Wei was appointed to advise the Government on aspects of the Big Society. He held a Cabinet Office pass and had three officials assigned to work with him.</p><p> </p>,"Maude, Francis",2014-10-29,Labour
"Onwurah, Chi","To ask the Minister for the Cabinet Office, how many (a) successful and (b) unsuccessful registrations of identity there have been through the Gov.uk Verify programme.",211873,Newcastle upon Tyne Central,2014-10-24,"<p>Information on Verify is published at:</p><p><a href=""https://www.gov.uk/government/publications/introducing-govuk-verify"" target=""_blank"">https://www.gov.uk/government/publications/introducing-govuk-verify</a><br> <br>GOV.UK Verify provides the first opportunity for people to verify their identity entirely digitally. <br> The service has not yet been launched and is still in public beta. Performance data will be published in due course.</p><p>Government Digital Service has not received representations from public sector providers of identity assurance</p><p> </p>","Maude, Francis",2014-10-29,Labour
"Kendall, Liz","To ask the Minister for the Cabinet Office, how many people (a) under and (b) over the age of 18 died as a result of asthma in each of the last five years.",211917,Leicester West,2014-10-24,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-29,Labour
"Mann, John","To ask the Minister for the Cabinet Office, how many people have died as a result of (a) malignant melanoma and (b) other forms of skin cancer in England and Wales in the last five years.",211893,Bassetlaw,2014-10-24,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-29,Labour
Baroness Falkner of Margravine,To ask Her Majesty’s Government when they will publish the report of the inquiry by Sir John Jenkins into the activities of the Muslim Brotherhood in the United Kingdom.,HL2437,NA,2014-10-27,"<p>I refer the noble peer to the answer I gave on 13 October, <em>Official Report</em>, Column WA13.</p><p> </p>",Lord Wallace of Saltaire,2014-11-10,Not found
Lord Tyler,To ask Her Majesty’s Government whether they will include information about online electoral registration with notifications and reminders of National Insurance numbers.,HL2450,NA,2014-10-27,<p>Users are reminded they will need their National Insurance Number before they start the application.</p><p> </p><p>Cabinet Office along with HM Revenue and Customs will explore the potential mutual benefits of collaboration in regards to the inclusion of electoral registration information in National Insurance Number reminder letters.</p><p> </p><p>The Government is looking at all options to exploit the full potential of online registration in increasing the completeness and accuracy of the register.</p><p> </p>,Lord Wallace of Saltaire,2014-11-11,Not found
Lord Tyler,To ask Her Majesty’s Government what action they are taking to improve electoral registration rates among those attaining the age of 18.,HL2451,NA,2014-10-27,"<p>Electoral registration is the responsibility of local Electoral Registration Officers (EROs), supported by the Electoral Commission.</p><p> </p><p>To support the transition to Individual Electoral Registration, the Government has invested £4.2 million in 2013/14 shared across every ERO in Great Britain and 5 national organisations to support the costs of activities aimed at increasing the rate of voter registration.</p><p> </p><p>The Government has also introduced online registration in Great Britain. As of midnight 28 October, 478,177 16-24 year olds had registered online.</p><p> </p><p>The Government has made freely available the Rock Enrol! resource aimed at engaging young people in democracy. This is free to download on GOV.UK, Guardian Teach and on the Times Educational Supplement website.</p><p> </p>",Lord Wallace of Saltaire,2014-11-10,Not found
Lord Tyler,"To ask Her Majesty’s Government whether they are making preparations to publish data on how many electors on the new electoral register due to be published in December are registered by virtue of (1) filling in a form online, (2) filling in a paper form, (3) responding to a doorstep canvass, (4) confirmation through the data-matching process, and (5) carry-over from the household electoral registration system.",HL2453,NA,2014-10-27,"<p>The Electoral Commission (EC) will assess progress in the transition to Individual Electoral Registration in England and Wales based on the Electoral Register as of 1 December 2014 and plans to publish their evaluation in February 2015. The Office for National Statistics will also publish statistics on the December register.</p><p> </p><p>Scotland will publish their registers in March and the EC plans to publish a separate assessment of these in April 2015.</p><p> </p><p>The Government intends to make their own assessment of the transition. An assessment of the confirmation live run in England and Wales was published in October 2014 and can be found here:</p><p> </p><p><a href=""https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/365451/Confirmation_Evaluation_England_and_Wales.pdf"" target=""_blank"">https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/365451/Confirmation_Evaluation_England_and_Wales.pdf</a></p><p> </p>",Lord Wallace of Saltaire,2014-11-11,Not found
"Ruane, Chris","To ask the Minister for the Cabinet Office, what steps the Government is taking to ensure that all departments make use of relevant wellbeing evidence to inform policy.",211945,Vale of Clwyd,2014-10-27,"<p>The Cabinet Office is working with other departments to make use of wellbeing evidence.</p><p>The Cabinet Office recently announced the establishment of a What Works Centre for Wellbeing, with the aim of translating wellbeing evidence into guidance for decision makers within Whitehall and beyond. The Government outlined its approach in detailed evidence provided to the Environmental Audit Committee for its Inquiry into Wellbeing. This can be found at:</p><p><a href=""http://www.parliament.uk/business/committees/committees-a-z/commons-select/environmental-audit-committee/inquiries/parliament-2010/well-being/"" target=""_blank"">http://www.parliament.uk/business/committees/committees-a-z/commons-select/environmental-audit-committee/inquiries/parliament-2010/well-being/</a></p><p> </p>","Wilson, Rob",2014-11-03,Labour
"Evans, Chris","To ask the Minister for the Cabinet Office, what estimate he has made of the cost to members of the public of copycat websites which charge extra for government services.",212074,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Evans, Chris","To ask the Minister for the Cabinet Office, what assessment he has made of the effectiveness of current legislation in tackling websites which copycat government services.",212075,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Evans, Chris","To ask the Minister for the Cabinet Office, what estimate he has made of the number of people who have used copycat websites of government services.",212082,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Evans, Chris","To ask the Minister for the Cabinet Office, what estimate he has made of the number of websites which copycat government websites.",212083,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Evans, Chris","To ask the Minister for the Cabinet Office, what progress he has made with internet service providers to tackle copycat websites which charge extra for government services.",212076,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Kirby, Simon","To ask the Minister for the Cabinet Office, how many private finance initiative projects his Department contracted for in each year from 1997 to 2010.",212092,"Brighton, Kemptown",2014-10-27,"<p>The Cabinet Office has one current private finance initiative (PFI) contract, which commenced in 2002.</p><p>In addition, in June 2007 the Cabinet Office entered into a contract, treated as a PFI contract in the Cabinet Office Annual Report and Accounts, which ended in June 2012.</p><p>Information on the Cabinet Office’s Private Finance Initiative contracts is available in the Department’s Annual Report and Accounts. Online copies for 2007-08 onwards ARE on the GOV.UK website:</p><p><a href=""https://www.gov.uk/government/collections/cabinet-office-annual-reports-and-accounts"" target=""_blank"">https://www.gov.uk/government/collections/cabinet-office-annual-reports-and-accounts</a></p><p> </p>","Maude, Francis",2014-11-03,Conservative
"Evans, Chris","To ask the Minister for the Cabinet Office, what assessment he has made of the effectiveness of the investigation by Trading Standards into copycat websites which charge extra for government services.",212077,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Beresford, Sir Paul","To ask the Minister for the Cabinet Office, what liaison is taking place between his Department and the Home Office on the (a) design of, (b) structure of and (c) security for the new digital vault for storing and processing digital ID pictures for use in passports; and if he will make a statement.",212034,Mole Valley,2014-10-27,"<p>The Government Digital Service is working closely with HM Passport Office. The Government is fully committed to protecting public data, including in all aspects of the passport application process.</p><p>In line with the practice of successive administrations, details of internal discussions are not normally disclosed.</p><p> </p>","Maude, Francis",2014-10-30,Conservative
"Percy, Andrew","To ask the Minister for the Cabinet Office, how many (a) full-time and (b) part-time employees in Brigg and Goole constituency were paid the minimum wage in the last year for which figures are available.",212071,Brigg and Goole,2014-10-27,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-30,Conservative
"Evans, Chris","To ask the Minister for the Cabinet Office, what assessment he has made of the extent of public awareness of copycat websites which charge extra for government services.",212078,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Evans, Chris","To ask the Minister for the Cabinet Office, what assessment he has made of the effectiveness of the campaigns by (a) Transport for London, (b) the Advertising Standards Agency and (c) Trading Standards to raise public awareness of copycat websites of government services.",212079,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Evans, Chris","To ask the Minister for the Cabinet Office, what progress has been made in ensuring that people only use gov.uk to access and pay for government services.",212080,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Evans, Chris","To ask the Minister for the Cabinet Office, what assessment he has made on the potential merits of consolidating all government websites into gov.uk as means of reducing the use of copycat websites which charge extra for government services.",212081,Islwyn,2014-10-27,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
"Hoban, Mark","To ask the Minister for the Cabinet Office, what mortality rate from cancer was in (a) Fareham constituency and (b) Hampshire in each of the last 10 years.",212135,Fareham,2014-10-27,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-29,Conservative
"Percy, Andrew","To ask the Minister for the Cabinet Office, how many alcohol-related deaths there were in Brigg and Goole constituency in (a) 2011, (b) 2012 and (c) 2013.",212260,Brigg and Goole,2014-10-28,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-11-03,Conservative
"Berger, Luciana","To ask the Minister for the Cabinet Office, whether his Department has carried out a risk assessment of the threat posed to the UK by the Ebola epidemic.",212358,"Liverpool, Wavertree",2014-10-28,<p>The Cabinet Office continues to work with colleagues across government to monitor and assess the risk posed to the UK by the current Ebola epidemic. The advice from the Chief Medical Officer is that the public health risk in the UK remains low.</p><p>I refer the Hon Member to the statement made by my Rt Hon Friend the Secretary of State for Health on 13 October 2014.</p><p> </p>,"Letwin, Oliver",2014-11-03,Labour (Co-op)
"Reed, Steve","To ask the Minister for the Cabinet Office, how much was spent by (a) 10 Downing Street, (b) the Deputy Prime Minister's Office, (c) the Office of the Leader of the House and (d) the Cabinet Office on (i) focus groups and (ii) surveys in (A) 2013 and (B) 2014 to date.",212513,Croydon North,2014-10-29,"<p>The Prime Minister’s Office, the Deputy Prime Minister's Office and the Office of the Leader of the House are integral parts of the Cabinet Office.</p><p>Spend incurred by my department on focus groups and surveys does not fall into a dedicated account code and can therefore only be obtained at disproportionate cost.</p><p> </p>","Maude, Francis",2014-11-05,Labour (Co-op)
"Reed, Steve","To ask the Minister for the Cabinet Office, how much his Office spent on (a) focus groups and (b) surveys in (i) 2013 and (ii) 2014 to date.",212497,Croydon North,2014-10-29,"<p>The Prime Minister’s Office, the Deputy Prime Minister's Office and the Office of the Leader of the House are integral parts of the Cabinet Office.</p><p>Spend incurred by my department on focus groups and surveys does not fall into a dedicated account code and can therefore only be obtained at disproportionate cost.</p><p> </p>","Maude, Francis",2014-11-05,Labour (Co-op)
Lord Roberts of Llandudno,"To ask Her Majesty’s Government what action they now expect from (1) the Cabinet Office, (2) the Electoral Commission, and (3) local Electoral Registration Officers as regards (a) the estimated proportion of those attaining the age of 18 who are registered to vote, and (b) the decline in the match rate of those attaining the age of 18 under the new system of individual electoral registration.",HL2522,NA,2014-10-30,"<p><strong>Through matching against government records, almost 9 in 10 electors in England and Wales were automatically transferred to the new register. </strong></p><p> </p><p><strong>The Government has funded Electoral Registration Officers (EROs) to write to all electors confirming whether they have matched, and inviting those that did not register under Individual Electoral Registration to do so. Non-responders will receive two written reminders and a visit from a canvasser. </strong></p><p> </p><p><strong>The Electoral Commission’s national awareness campaign includes activity aimed at young people. The Commission has encouraged EROs to work with schools to target attainers as part of their public engagement work. </strong></p><p> </p><p><strong>Online registration makes registering to vote simpler and quicker than ever before for nearly all electors - 530,511 16-24 year olds have applied since 11 July 2014.</strong></p><p> </p>",Lord Wallace of Saltaire,2014-11-17,Not found
Lord Kilclooney,"To ask Her Majesty’s Government what are the most recent annual figures for (1) emigrants departing the United Kingdom, and (2) immigrants arriving in the United Kingdom; and how many of those immigrants were non-EU citizens.",HL2524,NA,2014-10-30,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p>,Lord Wallace of Saltaire,2014-11-04,Not found
Lord Laird,"To ask Her Majesty’s Government what projection they have made of the size of the population of the United Kingdom in 2030, 2040, and 2050.",HL2542,NA,2014-10-30,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,Lord Wallace of Saltaire,2014-11-11,Not found
"Russell, Sir Bob","To ask the Minister for the Cabinet Office, how often (a) pneumococcal disease and (b) pneumococcal community-acquired pneumonia was mentioned on death certificates in England and Wales in each of the last 15 years.",212755,Colchester,2014-10-30,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-11-03,Liberal Democrat
"Bain, William","To ask the Minister for the Cabinet Office, what recent steps he has taken to ensure that government departments pay contractors on time and in full; and if he will take steps to ensure that all future payments to subcontractors who work on government projects are paid on time and in full.",212730,Glasgow North East,2014-10-30,"<p>Central Government pays over 80% of undisputed invoices within 5 days. Public Sector authorities are required to pay within 30 days upon receipt of a correct invoice and we encourage suppliers to report issues of late payment to Cabinet Office's Mystery Shopper service.</p><p>We are currently implementing Lord Young’s recommendations to ensure that contracting authorities will have a clause in all new contracts mandating payment within 30 days of an undisputed invoice all the way down the supply chain.</p><p>The Cabinet Office will be issuing guidance to contracting authorities on this new legislation, including standard contract clauses that can be used in all new contracts.</p><p> </p>","Maude, Francis",2014-11-06,Labour
"Gillan, Cheryl","To ask the Minister for the Cabinet Office, what income accrued to his Department from commercial activities at the former premises of the Civil Service College, Sunningdale, in each of the last four financial years; and if he will publish a list of users of those premises.",212713,Chesham and Amersham,2014-10-30,"<p>Information on the former premises of the National School of Government (previously the Civil Service College), Sunningdale, is available in the Cabinet Office accounts, available here from 2011-12 onwards at:</p><p><a href=""https://www.gov.uk/government/collections/cabinet-office-annual-reports-and-accounts"" target=""_blank"">https://www.gov.uk/government/collections/cabinet-office-annual-reports-and-accounts</a>.</p><p>In 2010-11 the National School of Government was a non-ministerial department and reported income within its Annual Report and Accounts. These can be found on GOV.UK:</p><p><a href=""https://www.gov.uk/search?q=National+School+of+Government"" target=""_blank"">https://www.gov.uk/search?q=National+School+of+Government</a></p><p> </p>","Maude, Francis",2014-11-04,Conservative
