"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"11",11,"HL4576","To ask Her Majesty's Government, further to the remarks by Baroness Vere of Norbiton on 6 December 2017 that she would write to the Director of Public Prosecutions (HL Deb, col 1051), whether she has done so; and if so, what was the response.","<p>I would refer his Lordship to the answer to HL4421 from Lord Pearson, which was tabled on 21 December 2017, a copy of which has been made available in the Library of the House.</p>","Lord Vinson","Not found",NA,"Lord Keen of Elie",2018-01-09,2018-01-16,10,"norbiton, vere, baroness"
"12",12,"HL4465","To ask Her Majesty's Government what progress they have made in enabling the National Fund charity to make appropriate donations; and whether they intend to apply to the courts for a scheme allowing the Fund to be used for its original purpose.","<p>The National Fund was created in 1928 with an initial anonymous donation of £500,000 with the aim of eventually extinguishing the national debt. It has accumulated significant funds through further donations and income over the years, as set out in the chart below. It is currently estimated to be worth over £460 million.</p><p>The terms of the deed of Trust for the National Fund are such that the Trustees are required to accumulate the net income and profits of the trust fund until the value of the fund along with its accumulated income, when added to the value of any other funds applicable for the same purpose, is sufficient to discharge the entirety of the National Debt. Given the terms of the trust, the money is currently ‘locked’ in the fund.</p><p>The Attorney General’s Office is working with the Charity Commission and the Fund’s trustees to help resolve this legally complicated matter.</p><p><strong> </strong></p><p><strong> </strong></p>","Baroness Hayter of Kentish Town","Not found",NA,"Lord Keen of Elie",2018-01-08,2018-01-22,11,"court, appeal, leniency"
"13",13,"121511","To ask the Attorney General, how many requests were received by his Department requesting the referral of the sentence in R v John Worboys to the Court of Appeal under the Unduly Lenient Sentence Scheme in 2009; and who those requests were made by.","<p>According to our records, in 2009 the Attorney General’s Office received requests to refer John Worboys’s sentence to the Court of Appeal from a charity that campaigned against violence against women, and from an MP who passed on a constituent’s complaint about the sentence.</p>","Johnson, Gareth","Conservative","Dartford","Wright, Jeremy",2018-01-08,2018-01-15,4,"unduly, lenient, sentence"
"14",14,"121288","To ask the Attorney General, how much money has been spent from the public purse on training members of the CPS and its agents on the criminalisation of forced marriage and the breach of  forced marriage protection orders since the coming into force of the Anti-Social Behaviour, Crime and Policing Act 2014; what events took place relating to that training; and how many people attended those events.","<p>The specific offence of forced marriage and breach of a Forced Marriage Protection Order came into force in June 2014 under the Anti-Social Behaviour, Crime and Policing Act 2014. Since then, the Crown Prosecution Service (CPS) has updated its legal guidance, developed e-learning and delivered training to its Area lead forced marriage prosecutors.</p><p>Training workshops were delivered jointly with the police on Forced Marriage, Honour Based Violence and Female Genital Mutilation across all CPS Areas between July and December 2014. The workshops included input from stakeholders at a cost of £5,000.</p><p>On 13 December 2017, a further masterclass was delivered to all CPS Areas to address the unique difficulties in prosecuting these crimes. This masterclass included input from stakeholders at a cost of £1,633.50. This training will be cascaded by the local Area forced marriage leads.</p><p>The CPS’s Prosecution College, provides award-winning courses to CPS employees, and hosts the e-learning course, “Forced Marriage and Honour Based Violence”. To date 231 of its employees who were in post on 8 January 2018 had completed all elements of the e-learning course. The course was developed in-house which enables targeted and consistent training delivered to employees in an efficient and cost-effective way.</p><p>The CPS will continue to train its staff in this critical area of work.</p>","Hendrick, Sir Mark","Labour (Co-op)","Preston","Buckland, Robert",2018-01-05,2018-01-10,12,"marriage, force, indecent"
"15",15,"HL4420","To ask Her Majesty's Government, further to the answer by Baroness Vere of Norbiton on 6 December (HL Deb, col 1050), whether the definition of hate crime adopted by the Crown Prosecution Service to facilitate the reporting of incidents is wider than the legal definition of such crime under the Crime and Disorder Act 1998 and the Criminal Justice Act 2003; if so, how; and upon what authority it was issued.","<p>The flagging definition for hate crime was agreed between the CPS and the NPCC (ACPO as it was then) in 2007. It is wider than the definition set out in legislation to ensure that all relevant cases are captured.</p><p>The flagging definition comes from the recommended definition in the Macpherson report published in 1999 as a result of the inquiry into the murder of Stephen Lawrence. The Macpherson report recommended that ‘this definition should be universally adopted by the Police, local Government and other relevant agencies’.</p><p>This recommendation in the Macpherson report was welcomed by the Government at the time and the current Government remains in support of this position. The CPS has worked with police to implement the recommended definition across all strands of hate crime. The CPS takes tackling hate crime seriously and recognises the need to increase public confidence to report. The flagging definition is important in achieving this aim.</p><p>In order for a crime to be charged and prosecuted as a hate crime, the CPS uses the legal definitions contained in the Crime and Disorder Act 1998 (CDA 1998) and the Criminal Justice Act 2003 (CJA 2003). This means that not every incident that the victim or another person has perceived to be a hate crime will actually be a hate crime in law.</p><p>The CPS legal guidance recognises the potential impact of prosecutions on Article 10 of the European Convention on Human Rights (the right to freedom of expression). The CPS must balance the rights of an individual to freedom of speech against the duty of the state to act proportionately and to protect the rights of others.</p><p> </p>","Lord Pearson of Rannoch","Not found",NA,"Lord Keen of Elie",2017-12-21,2018-01-09,13,"crime, hate, economic"
"16",16,"HL4421","To ask Her Majesty's Government, further to the remarks by Baroness Vere of Norbiton on 6 December (HL Deb, col 1051), whether the Baroness Vere of Norbiton has written to the Director of Public Prosecutions as indicated; and if so, what response has been received.","<p>Baroness Vere of Norbiton wrote to the Director of Public Prosecutions (DPP) on 13 December 2017. The DPP provided her response on 9 January 2018.</p><p>In her response, the DPP confirmed that the flagging definition for hate crime was agreed between the CPS and the NPCC (ACPO as it was then) in 2007 and that it is wider than the definition set out in legislation to ensure all relevant cases are captured.</p><p>The CPS adopted the recommended definition in the Macpherson report published in 1999 as a result of the inquiry into the murder of Stephen Lawrence. The Macpherson report also recommended that ‘this definition should be universally adopted by the Police, local Government and other relevant agencies’.</p><p>This recommendation in the Macpherson report was welcomed by the Government at the time and the current Government remains in support of this position. The CPS has worked with police to implement the recommended definition across all strands of hate crime. The CPS takes tackling hate crime seriously and recognises the need to increase public confidence to report. The flagging definition is important in achieving this aim.</p><p>In order for a crime to be charged and prosecuted as a hate crime, the CPS uses the legal definitions contained in the Crime and Disorder Act 1998 (CDA 1998) and the Criminal Justice Act 2003 (CJA 2003). This means that not every incident that the victim or another person has perceived to be a hate crime will actually be a hate crime in law.</p><p>In her letter, the DPP also confirmed that the CPS legal guidance recognises the potential impact of prosecutions on Article 10 of the European Convention on Human Rights (the right to freedom of expression). The CPS must balance the rights of an individual to freedom of speech against the duty of the state to act proportionately and to protect the rights of others.</p><p><strong> </strong></p>","Lord Pearson of Rannoch","Not found",NA,"Lord Keen of Elie",2017-12-21,2018-01-09,10,"norbiton, vere, baroness"
"17",17,"903067","What recent assessment he has made of the effectiveness of the unduly lenient sentence scheme.","<p>The number of sentences considered by the Solicitor General and I has more than doubled since 2010 – from 342 to 837 requests in 2016. Last year we took 190 of these cases to the Court of Appeal for consideration. The Court of Appeal agreed to increase the sentences of 141 offenders.</p><p> </p>","Chishti, Rehman","Conservative","Gillingham and Rainham","Wright, Jeremy",2017-12-20,2017-12-21,4,"unduly, lenient, sentence"
"18",18,"HL4364","To ask Her Majesty's Government what discussions the Attorney General has had with the Director of Public Prosecutions regarding trials where the prosecution has ceased to prosecute rape cases in recent months; and how many rape cases have been discontinued in court due to a failure to disclose evidence in the last three months.","<p>The Attorney General has frequent discussions with the Director of Public Prosecutions (DPP) on a range of issues relating to the prosecution of rape and sexual offending.</p><p>This month the DPP is bringing together partners from across the criminal justice system to discuss the challenges of satisfying the statutory disclosure test in the digital age.</p><p>More broadly, the Attorney General has also announced that he is undertaking a review of disclosure in the criminal justice system to ensure it is fit for purpose.</p><p>There are a number of reasons why a rape prosecution may not be continued with. Internal CPS case outcome recording data for 2016-17 shows that issues connected to the disclosure of unused material were recorded as the primary reason for 2% of the rape prosecutions that were subsequently not proceeded with after charge. More recent data are not currently available.</p>","Lord Morris of Aberavon","Not found",NA,"Lord Keen of Elie",2017-12-20,2018-01-08,14,"evidence, trial, cps"
"19",19,"903074","To ask the Attorney General, what recent discussions he has had with the Serious Fraud Office on tackling economic crime.","The Serious Fraud Office does vital work in tackling some of the most serious instances of economic crime. As the superintending Minister for the SFO, I regularly meet with the Director of the SFO to discuss key issues in relation to economic crime.","Bowie, Andrew","Conservative","West Aberdeenshire and Kincardine","Wright, Jeremy",2017-12-19,2017-12-21,13,"crime, hate, economic"
"20",20,"HL4333","To ask Her Majesty's Government, further to the Written Answer by Lord Keen of Elie on 6 November (HL2408), whether there have been no prosecutions for operating unregistered schools because no cases have been put to the Crown Prosecution Service, or for evidential reasons.","<p>The offences under sections 96 and 97 of the Education and Skills Act 2008 came into force, as they relate to independent schools, on 5 January 2015. Since that date two cases have been referred to the Crown Prosecution Service for early investigative advice following which investigations were discontinued. Two further cases have been referred to the Crown Prosecution Service for a charging decision. In both of these latter cases the evidential test under the Code for Crown Prosecutors was not met.</p><p> </p>","Lord Warner","Not found",NA,"Lord Keen of Elie",2017-12-19,2018-01-05,15,"female, genital, mutilation"
"21",21,"120310","To ask the Attorney General, how many and what proportion of his Department's Answers to Written Parliamentary Questions in the 2017-18 Session to date have referred to the information requested not being (a) collected or (b) collated centrally.","<p>My department has answered six written parliamentary questions explaining that the requested information was not available on the grounds of it not being collected or held centrally. This is out of a total of 102 parliamentary questions that have been answered in the 2017/18 session to date and represents just under 6% of the total number.</p>","Ruane, Chris","Labour","Vale of Clwyd","Wright, Jeremy",2017-12-19,2018-01-03,16,"procured, parliamentary, session"
"22",22,"HL4267","To ask Her Majesty's Government when the Attorney General is expected to rule on the Albert Hall case referred to him by the Charity Commission in September.","<p>The Attorney General has received a request from the Charity Commission to grant his consent to a reference to the Charity Commission on various points of law. The Attorney General requested further information from the Charity Commission and the Royal Albert Hall Corporation. He has now received that further information and expects to make a decision early this year.</p>","Lord Hodgson of Astley Abbotts","Not found",NA,"Lord Keen of Elie",2017-12-18,2018-01-04,17,"refer, raise, commission"
"23",23,"119907","To ask the Attorney General, how many times and for what reasons blockbuster funding requests from the Serious Fraud Office have been denied since 2012.","<p>There have been eight blockbuster funding applications since 2010, all of which have been approved by the Treasury. Funding for these cases is provided from the reserve. Total reserve funding by year from 2012-13 is:</p><p> </p><table><tbody><tr><td><p><strong>2012-13</strong></p></td><td><p><strong>2013-14</strong></p></td><td><p><strong>2014-15</strong></p></td><td><p><strong>2015-16</strong></p></td><td><p><strong>2016-17</strong></p></td></tr><tr><td><p><strong>£000s</strong></p></td><td><p><strong>£000s</strong></p></td><td><p><strong>£000s</strong></p></td><td><p><strong>£000s</strong></p></td><td><p><strong>£000s</strong></p></td></tr><tr><td><p><strong>-</strong></p></td><td><p>5,000</p></td><td><p>2,000</p></td><td><p>10,000</p></td><td><p>10,000</p></td></tr><tr><td><p>6,735</p></td><td><p>19,000</p></td><td><p>23,237</p></td><td><p>18,000</p></td><td><p>7,500</p></td></tr><tr><td><p>6,735</p></td><td><p>24,000</p></td><td><p>25,237</p></td><td><p>28,000</p></td><td><p>17,500</p></td></tr></tbody></table><p> </p><p>All of these blockbuster funded cases are still under active investigation and it is not possible for operational reasons to provide a breakdown of how the funding is allocated in each case.</p><p>Reserve funding for years prior to 2016-17 also covers the costs of the SFO’s civil litigation cases.</p>","Haigh, Louise","Labour","Sheffield, Heeley","Buckland, Robert",2017-12-18,2017-12-21,18,"fund, blockbuster, serious"
"24",24,"120082","To ask the Attorney General, what recent discussions he has had with Cabinet colleagues on tackling knife crime.","<p>As a member of the Inter-Ministerial Group on Ending Gang Violence and Exploitation, I meet on a regular basis with colleagues with a focus on the priority to reduce violence and knife crime.</p><p> </p><p>The Home Office has recently undertaken a consultation on dangerous and offensive weapons, which includes proposals for new knife offences and to strengthen measures to tackle the cycle of violence and threat to safety posed by knife crime.</p><p> </p>","Foxcroft, Vicky","Labour","Lewisham, Deptford","Buckland, Robert",2017-12-18,2017-12-21,13,"crime, hate, economic"
"25",25,"119845","To ask the Attorney General, what steps his offices are taking to implement the guidance set out by the Government Commercial Function in its paper entitled Exiting Major IT Contracts: Guidance for Departments, published in November 2017, in respect of (a) using market engagement, (b) setting up disaggregation work, (c) risk assessment, (d) developing a programme plan through the transition, (e) identifying the skills and capabilities that will be needed in the future and (f) any other work related to that guidance.","<p>The CPS is fully aligned with the Government Commercial Function paper <em>&quot;Exiting Major IT Contracts: Guidance for Departments</em>”.</p><p>The programme to disaggregate and replace ICT services delivered through a PFI contract with CGI (formally Logica) since 2002 is well advanced and will complete in 2019. Throughout the programme the CPS has worked in partnership with the Government Digital Service and the Crown Commercial Service, securing spending control approval from Cabinet Office and HM Treasury where appropriate. The CPS’s strategy ensures that it is aligned with the government’s Technology Code of Practice including the principle of cloud-first services.</p><p>In 2015 the CPS carried out a major review of its internal capability across all aspects of ICT including technical, service management, commercial and programme management. As a result a new separate ICT Commercial Team was established and a number of new roles were established and filled in its Digital Technology Services Directorate.</p><p>The CPS operates detailed programme plans and associated risk logs to manage each phase of the disaggregation including pre-market engagement, procurement, service transition and service exit.</p><p>The CPS has used pan-government frameworks, let and managed by the Crown Commercial Service to replace network, telephony, print and applications hosting and management services. It is planning to use these frameworks to replace service desk and end user computing services in 2018. As part of each procurement process, it undertakes market engagement, the extent of which is dependent on the size and complexity of the contract to be awarded.</p><p>The CPS provides ICT services to the Attorney General’s Office (AGO) and HMCPSI.</p><p>The Serious Fraud Office (SFO) does not have any large outsourced single vendor IT contract in place.</p><p>It uses a multi-vendor approach, selecting suppliers based on their ability to support their specialised systems, and that is combined with in-house teams, which have grown in size in recent years as they reduce their reliance on external providers.</p><p>The SFO regularly reviews all its IT contracts taking into account the potential for disaggregation, benefits, costs, timing, risks, and overall value for money, in line with the guidance provided by the Government Commercial Function.</p><p>The largest contract currently in place is with Capita, and that contract is due to expire in July 2019. Ahead of that, a full review will take place, to determine whether it continues to outsource this service to Capita or another provider, or bring the service in house.</p><p>The Government Legal Department (GLD) does not hold any large single provider contracts worth over £20 million per year which fall within the guidance published in November 2017. GLD uses its own in-house IT services as well as using a multi provider approach when delivering any IT services. It is committed to following the principles contained within the guidance where applicable.</p><p> </p>","Trickett, Jon","Labour","Hemsworth","Wright, Jeremy",2017-12-15,2018-01-04,19,"paper, panama, entitled"
"26",26,"119162","To ask the Attorney General, (a) how many and (b) what proportion of her Department's Answers to Written Parliamentary Questions have advised that the requested information was not available on the grounds of disproportionate cost associated with data collection and collation in the current session.","<p>My department has answered 10 written parliamentary questions explaining that the requested information was not available on the grounds of disproportionate cost. This is out of a total of 102 parliamentary questions that have been answered and represents 10% of the total.</p>","Ruane, Chris","Labour","Vale of Clwyd","Wright, Jeremy",2017-12-13,2018-01-03,16,"procured, parliamentary, session"
"27",27,"119462","To ask the Attorney General, how many data incidents his Department (a) recorded and (b) reported to the Information Commissioner's Office in (i) 2015-16 and (ii) 2016-17.","<p>Neither the AGO or HMCPSI recorded any data incidents in 2015-16 or 2016-17.</p><p>The CPS recorded 183 data incidents in 2015-16 and 242 in 2016-17. Three of the incidents in 2015-16 were referred to the ICO and seven of the incidents in 2016-17.</p><p>The SFO recorded nine data incidents in 2015-16 and 17 in 2016-17. None of these were deemed serious enough to require reporting to the ICO.</p><p>The GLD recorded 63 security incidents in 2015-16 and 45 in 2016-17. None of the incidents in 2015-16 was deemed serious enough to require reporting to the ICO; one was reported to the ICO in 2016-17. The GLD does not specifically record ‘data incidents’ as a reporting category; the figures for ‘security incidents’ include physical and personal security, as well as information security.</p><p> </p>","Trickett, Jon","Labour","Hemsworth","Wright, Jeremy",2017-12-13,2018-01-03,20,"information, freedom, request"
"28",28,"119479","To ask the Attorney General, how many times the Law Officers' Departments Senior Information Risk Officer roles has been vacant for a week or longer since 2012.","<p>In the event of any Senior Information Risk Officer (SIRO) vacancy, a deputy SIRO or appropriate senior individual is appointed to temporarily cover the role.</p>","Trickett, Jon","Labour","Hemsworth","Wright, Jeremy",2017-12-13,2018-01-03,21,"executive, departments, law"
"29",29,"119095","To ask the Attorney General, pursuant to the Answer of 30 November 2017 to Question HL3576, what steps the Law Officers' Departments is taking to strengthen families.","<p>The AGO supports the development of policy and legislation across Government where these are relevant to the responsibilities of the Law Officers, particularly in relation to the rule of law. In doing so, the AGO supports the cross-Government objective for strengthening families.</p>","Bruce, Fiona","Conservative","Congleton","Wright, Jeremy",2017-12-12,2017-12-22,22,"families, test, august"
"30",30,"119128","To ask the Attorney General, to which legislation his Department has applied the Family Test, published in August 2014.","<p>The AGO has not been the sponsoring department for any legislation in this session.</p>","Bruce, Fiona","Conservative","Congleton","Wright, Jeremy",2017-12-12,2017-12-20,22,"families, test, august"
"31",31,"118460","To ask the Attorney General, for what reasons the number of offences recorded for 2016-17 in the Answer of 28 November 2017 to Question 112584 differ from the number of summary convictions recorded in 2016 in the Answer of 13 November 2017 to Question 112585.","<p>This question relates to the differences in recording of data under section 76 of the Serious Crime Act 2015.</p><p>The data reported by the Crown Prosecution Service (CPS) in the answer to Question 112584 differs from that provided by the Ministry of Justice (MoJ) in the response to Question 112585 in that:</p><ul><li><p>CPS data is for the financial year; MoJ data for the calendar year.</p></li><li><p>CPS data includes all offences which have been commenced and have reached a first hearing in Magistrates’ Courts. A defendant may be charged with more than one offence. No central record is kept as to the outcome of the proceedings under s76 of the Serious Crime Act 2015.</p></li><li><p>In contrast, MoJ record the outcome of the proceedings by defendant and for whom this offence was the principal offences for which they were dealt with. When a defendant has been found guilty of two or more offences it is the offence for which the heaviest penalty is imposed.</p></li><li><p>MoJ data covers cases completed in Magistrates’ Court in 2016, and therefore includes both completed and live cases in the Crown Court.</p></li></ul>","Johnson, Diana","Labour","Kingston upon Hull North","Wright, Jeremy",2017-12-11,2017-12-14,23,"2016, 22432, 20"
"32",32,"118447","To ask the Attorney General, pursuant to the Answer of 28 November 2017 to Question 112584, on domestic violence: prosecutions, what proportion of the offences recorded in 2016-17 led to summary convictions.","<p>The Crown Prosecution Service (CPS) does not maintain a record of offences which resulted in a summary conviction. However, in 2016/17, there were 70,853 convictions flagged as domestic abuse.</p>","Johnson, Diana","Labour","Kingston upon Hull North","Wright, Jeremy",2017-12-11,2017-12-14,23,"2016, 22432, 20"
