Question_MP,Question_Text,Question_ID,MP_Constituency,Question_Date,Answer_Text,Answer_MP,Answer_Date,Party
"Bayley, Sir Hugh","To ask the right hon. Member for Banbury, representing the Church Commissioners, who has been invited to represent the Church of England at the service at Leicester Cathedral for the reburial of King Richard III.",227784,York Central,2015-03-17,"<p>The Archbishop of Canterbury, the Most Revd &amp; Rt Hon Justin Welby &amp; Mrs Welby will be representing the Church of England at the reburial service for King Richard III in Leicester Cathedral on the 26 March. The local diocese will be represented by the Bishop of Leicester, the Rt Revd Tim Stevens alongside other senior clergy from across the country, local dignitaries, ecumenical guests and representatives of other faiths.</p><p> </p>","Baldry, Sir Tony",2015-03-19,Labour
"Wiggin, Bill","To ask the right hon. Member for Meriden, representing the Church Commissioners, what discussions the Church Commissioners have had with the Department for Communities and Local Government on changes to planning regulations that could increase the supply of places suitable for bat roosts and reduce the incidence of bats roosting in churches.",407,North Herefordshire,2015-05-28,"<p>Following the General Election the Church Commissioners plan to seek an early meeting with the Department for Communities and Local Government regarding changing the regulations on bat roosts. In recent years the Church of England has seen increased numbers of bats using church buildings as roosts. This increased usage of our church buildings by bats for roosting is causing considerable strain on the parish communities and volunteers who maintain the parish churches alongside the great expense in cleaning and restoration of items of great religious, cultural and historic significance. In extreme cases the presence of bats is preventing the building being used for worship or by its wider community.</p><p>The Church of England is working alongside Natural England on a substantial Heritage Lottery Fund bid which will seek to provide physical and long lasting solutions for the worst affected churches and create a wider support network for those with smaller or transient bat populations. Both St . Margaret of Antioch, Wellington and St Mary’s Church, Pembridge in my Hon Friend’s constituency have faced significant problems with bat populations. Both churches are part of the Heritage Lottery Fund bid and have already installed mitigation measures. We hope the bid for support will be successful and that this might then be able to bring some relief to churches across the country.</p>","Spelman, Caroline",2015-06-02,Conservative
"Sharma, Virendra","To ask the right hon. Member for Meriden, representing the Church Commissioners, how many members of the clergy in each of the last 10 years have been women.",734,"Ealing, Southall",2015-06-02,"<p>The most recent statistics available on the number of women in ordained ministry in the Church of England can be found in the table below. These figures combine all clergy who are full time or part time stipendiary clergy and those who are self-supporting clergy. Although more recent figures are not yet available, the general trend is towards an increase in women training for ordained ministry and the Church of England has most recently appointed three women as bishops who are:</p><p> </p><ul><li><p>The Bishop of Gloucester, the Rt Revd Rachel Treweek,</p></li><li><p>The Bishop of Stockport, Rt Revd Elizabeth Lane,</p></li><li><p>And the Bishop of Hull, Rt Revd Alison White.</p></li></ul><p> </p><p> </p><p> </p><table><tbody><tr><td><p><strong>Year</strong></p></td><td><p><strong>Female</strong></p></td><td><p><strong>Male</strong></p></td></tr><tr><td><p>2012</p></td><td><p>3,650</p></td><td><p>7,725</p></td></tr><tr><td><p>2011</p></td><td><p>3,575</p></td><td><p>7,843</p></td></tr><tr><td><p>2010</p></td><td><p>3,535</p></td><td><p>8,087</p></td></tr><tr><td><p>2009</p></td><td><p>3,401</p></td><td><p>8,257</p></td></tr><tr><td><p>2008</p></td><td><p>3,414</p></td><td><p>8,531</p></td></tr><tr><td><p>2007</p></td><td><p>3,268</p></td><td><p>8,645</p></td></tr><tr><td><p>2006</p></td><td><p>3,119</p></td><td><p>8,785</p></td></tr><tr><td><p>2005</p></td><td><p>2,986</p></td><td><p>8,936</p></td></tr><tr><td><p>2004</p></td><td><p>2,654</p></td><td><p>8,852</p></td></tr></tbody></table><p> </p>","Spelman, Caroline",2015-06-08,Labour
"Sharma, Virendra","To ask the right hon. Member for Meriden, representing the Church Commissioners, what statistics the Church Commissioners collect on the number of LGBT men and women in the clergy.",735,"Ealing, Southall",2015-06-02,<p>The National Church Institutions of the Church of England do not maintain a record of the number of LGBT clergy.</p><p> </p>,"Spelman, Caroline",2015-06-08,Labour
"Wiggin, Bill","To ask the right hon. Member for Meriden, representing the Church Commissioners, what proposals the Church Commissioners have received to allow community energy generation using church roofs for solar panels.",3028,North Herefordshire,2015-06-17,"<p>The General Synod of the Church of England is committed to the whole Church reducing its carbon footprint. One strategy which is proving popular in local communities is for the Church to use solar installations on its roof to generate energy for the benefit of the surrounding community.</p><p>Examples where community generation is working well can be found in St John's Church, Old Trafford and St George's Church, Kemp Town, Brighton where both churches are part of an energy cooperative. The Church of England is committed to environmental action and finding creative solutions to reduce the energy demands of its own buildings, more detailed advice can be found at <a href=""http://www.churchcare.co.uk/"" target=""_blank"">www.churchcare.co.uk</a></p><p><br></p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p>","Spelman, Caroline",2015-06-22,Conservative
"Wiggin, Bill","To ask the right hon. Member for Meriden, representing the Church Commissioners, what support she is providing to churches for the installation of PV panels.",2916,North Herefordshire,2015-06-17,"<p>The Church of England’s Church Buildings Division offers advice and support to churches across the country who are seeking to generate energy from their roof. While this may not be appropriate for all sites there are a growing number of listed church buildings, currently over 200, who have successfully managed to install solar panels. One of the best examples of the use of solar panels is the 10th century All Saints Church in Wing, Buckinghamshire which has installed solar panels on the nave and south aisle roofs. More detailed advice can be found at <a href=""http://www.churchcare.co.uk/"" target=""_blank"">www.churchcare.co.uk</a></p><p> </p>","Spelman, Caroline",2015-06-22,Conservative
"Jackson, Stewart","To ask the right hon. Member for Meriden, representing the Church Commissioners, whether the Church Commissioners plan to dispose of land for residential development at (a) Paston Reserve and (b) Norwood in Gunthorpe, Peterborough; and if she will make a statement.",3389,Peterborough,2015-06-22,"<p>The Church Commissioners have two strategic land sites at Peterborough; Paston Reserve and Norwood. Both sites are allocated as residential urban extension sites in Peterborough City Council’s adopted Core Strategy and Site Allocations Development Plan Documents. It is the Commissioners’ intention, over the long term, to make these sites available to facilitate the delivery of housing and other infrastructure.</p><p> </p><p>Paston Reserve currently has planning permission for 1,050 houses, local facilities (including a primary school), open space and other infrastructure. Development of the first residential phase started on site in 2014, and comprises 87 houses. The first houses on site were sold by the developer, Keepmoat, in early 2015. Discussions in regard to a second phase of development are currently underway.</p><p>With respect to Norwood, the Commissioners worked with the local planning authority through the development plan process, which saw the site’s allocation for 2,300 new houses, and are committed to bringing forward the land for development. Pre-application work is currently being progressed with the other landowners across the site and initial discussions have been had with Peterborough City Council about the site’s delivery and potential timescales for an outline planning application.</p><p> </p>","Spelman, Caroline",2015-06-29,Conservative
"Hendrick, Mark","To ask the right hon. Member for Meriden, representing the Church Commissioners, which Church of England churches in the Diocese of Blackburn have been subject to metal theft from roofs in each year since 2012; and which such churches were redundant churches.",8387,Preston,2015-09-04,"<p>With regards to open churches the number of churches in the Blackburn Diocese which have suffered from metal theft can be found on the chart below. The chart shows the volume of claims have dropped dramatically since 2011 when the Scrap Metal Dealers Act was enforced there are still a small number of persistent gangs operating across the country who continue to damage and vandalise these local community assets. The total number of thefts does not tell the whole story as the cost to the individual parish which has suffered the damage is often considerable to repair, replace and take preventative steps against future thefts.</p><table><tbody><tr><td>Year Claim Made</td><td>2011</td><td>2012</td><td>2013</td><td>2014</td><td><p>Total</p></td></tr><tr><td>Dicoese of Blackburn</td><td>73</td><td>27</td><td>14</td><td>13</td><td>127</td></tr></tbody></table><p> </p><p> </p><p> </p><p>The Churches listed below have registered 50 thefts in the specified period and are the worst effected, in addition to the list below 49 other churches have registered 77 claims in this period.</p><p> </p><p> </p><p><strong>Listed</strong></p><p> </p><p>1 Lytham St Cuthbert – Grade 11</p><p> </p><p>2 Colne St Bartholomew – Grade1</p><p> </p><p>3 Chorley St George – Grade 11*</p><p> </p><p>4 Chorley St Peter – Grade 11</p><p> </p><p>5 Charnock Richard Christ Church – Grade 11</p><p> </p><p>6 Cockerham St Michael – Grade 11*</p><p> </p><p>7 Hoole St Michael – Grade 11*</p><p> </p><p>8 Bamber Bridge St Saviour – Grade 11</p><p> </p><p>9 Grimsargh St Michael – Grade 11</p><p> </p><p>10 Walton-le-Dale St Leonard – Grade 11*</p><p> </p><p>11 Church Kirk St James – Grade 11*</p><p> </p><p>12 Accrington St John Grade 11</p><p> </p><p>13 Over Kellet St Cuthbert Grade 11*</p><p> </p><p>14 Leyland St James Grade 11</p><p> </p><p>15 Mellor St Mary Grade II</p><p> </p><p>16 Douglas in Parbold Christ Church Grade 11</p><p> </p><p>17 Kirkham St Michael Grade 11*</p><p> </p><p>18 Woodplumpton St Anne – Grade11*</p><p> </p><p>19 Chorley St Laurence – Grade 11 *</p><p> </p><p>20 Bolton le Sands Holy Trinity – Grade11*</p><p> </p><p> </p><p> </p><p><strong>Unlisted</strong></p><p> </p><p>21 Blackburn St Luke with St Philip</p><p> </p><p>22 Layton St Mark</p><p> </p><p>23 Thornton le Fylde Christ Church</p><p> </p><p>24 Fleetwood St Nicholas</p><p>25 Little Thornton St John</p><p>Closed churches are the responsibility for the care and maintenance of a closed church rests with the Diocesan Board of Finance during the time that a use is being sought following closure. There are currently very few closed churches in the Diocese of Blackburn and we are not aware that there has been lead roof theft from any closed church in Blackburn Diocese in the years from 2012. We are aware of one earlier theft of lead from the roof of a former church building in the Great Harwood area of Accrington. This building has since been demolished and the site sold for residential development.</p><p> </p>","Spelman, Caroline",2015-09-10,Not found
"Hendrick, Mark","To ask the right hon. Member for Meriden, representing the Church Commissioners, which non-redundant Church of England churches in the Diocese of Blackburn (a) have and (b) do not have food bank collection points.",8578,Preston,2015-09-04,"<p><br></p><p>The Diocese of Blackburn works closely with ‘Together Lancashire’, a church-linked social action network run by Church Urban Fund. According to ‘together Lancashire’ there are currently around 36 food banks in the diocese of Blackburn, of which 6 are Trussell Trust foodbanks (Blacburn, Fylde, Ribble Valley, Morecombe Bay, Skelmserdale and Ormskirk). These food banks handed out an estimated 35,000 food parcels in 2014.</p><p><br></p><p>Nearly all these initiatives are church-led (though not necessarily Church of England) projects. A directory and map of food banks in Lancashire (including the unitary authorities of Blackpool and Blackburn &amp; Darwen) is available at: <a href=""http://www.cuf.org.uk/node/618257"" target=""_blank"">http://www.cuf.org.uk/node/618257</a></p><p><br></p><p>Separately, a Church in Action survey of Church of England clergy, which was published in January 2015, included a series of questions about church support for food banks. 1,812 church leaders took part in the survey. Of the 39 responses from Blackburn diocese:</p><p><br></p><ul><ul><li><p>31 churches (80%) were involved in some way in supporting a local food bank</p></li><li><p>6 offered church premises for the food bank</p></li><li><p>11 were helping to manage a food bank</p></li><li><p>14 were providing volunteers</p></li><li><p>29 were collecting food</p></li></ul></ul><p> </p>","Spelman, Caroline",2015-09-08,Not found
"Hendrick, Mark","To ask the right hon. Member for Meriden, representing the Church Commissioners, which Church of England churches in the Diocese of (a) Blackburn, (b) Manchester, (c) Liverpool and (d) Carlisle were sold in 2014; and how many such churches were sold to (i) other named protestant churches, (ii) named orthodox churches, (iii) other named Christian organisations, (iv) named non-Christian organisations, (v) organisations planning to use them for housing and (vi) organisations planning to use them for other named community uses.",8994,Preston,2015-09-04,"<p>From the records held centrally by the Church Commissioners, Closed Churches Division of the four dioceses mentioned only two closed churches were sold in 2014, both in the Diocese of Manchester, Primarily for use for nursery, playschool and other educational purposes, but not to named institutions. <br></p><p> </p><p>Very few Church of England church buildings are closed for regular public worship in any year and where such buildings are closed, the duty placed on the Diocese and the Church Commissioners is to seek a suitable use for the building.</p><p> </p><p>In 2014, in addition to the two closed church buildings mentioned above a further 14 closed Church of England buildings were sold and 3 leased across England: 5 for community purposes; 3 for use as a monument; 5 for residential use; and 4 for worship by other Christian bodies.</p><p> </p>","Spelman, Caroline",2015-09-09,Not found
"Hendrick, Mark","To ask the right hon. Member for Meriden, representing the Church Commissioners, which Church of England churches in the Diocese of Blackburn were subject to metal theft from rooves in (a) 2012, (b) 2013 and (c) 2014; and which such churches were redundant.",8993,Preston,2015-09-04,"<p>With regards to open churches the number of churches in the Blackburn Diocese which have suffered from metal theft can be found on the chart below. The chart shows the volume of claims have dropped dramatically since 2011 when the Scrap Metal Dealers Act was enforced there are still a small number of persistent gangs operating across the country who continue to damage and vandalise these local community assets. The total number of thefts does not tell the whole story as the cost to the individual parish which has suffered the damage is often considerable to repair, replace and take preventative steps against future thefts.</p><table><tbody><tr><td>Year Claim Made</td><td>2011</td><td>2012</td><td>2013</td><td>2014</td><td><p>Total</p></td></tr><tr><td>Dicoese of Blackburn</td><td>73</td><td>27</td><td>14</td><td>13</td><td>127</td></tr></tbody></table><p> </p><p> </p><p> </p><p>The Churches listed below have registered 50 thefts in the specified period and are the worst effected, in addition to the list below 49 other churches have registered 77 claims in this period.</p><p><br></p><p> </p><p><strong>Listed</strong></p><p> </p><p>1 Lytham St Cuthbert – Grade 11</p><p> </p><p>2 Colne St Bartholomew – Grade1</p><p> </p><p>3 Chorley St George – Grade 11*</p><p> </p><p>4 Chorley St Peter – Grade 11</p><p> </p><p>5 Charnock Richard Christ Church – Grade 11</p><p> </p><p>6 Cockerham St Michael – Grade 11*</p><p> </p><p>7 Hoole St Michael – Grade 11*</p><p> </p><p>8 Bamber Bridge St Saviour – Grade 11</p><p> </p><p>9 Grimsargh St Michael – Grade 11</p><p> </p><p>10 Walton-le-Dale St Leonard – Grade 11*</p><p> </p><p>11 Church Kirk St James – Grade 11*</p><p> </p><p>12 Accrington St John Grade 11</p><p> </p><p>13 Over Kellet St Cuthbert Grade 11*</p><p> </p><p>14 Leyland St James Grade 11</p><p> </p><p>15 Mellor St Mary Grade II</p><p> </p><p>16 Douglas in Parbold Christ Church Grade 11</p><p> </p><p>17 Kirkham St Michael Grade 11*</p><p> </p><p>18 Woodplumpton St Anne – Grade11*</p><p> </p><p>19 Chorley St Laurence – Grade 11 *</p><p> </p><p>20 Bolton le Sands Holy Trinity – Grade11*</p><p> </p><p> </p><p> </p><p><strong>Unlisted</strong></p><p> </p><p>21 Blackburn St Luke with St Philip</p><p> </p><p>22 Layton St Mark</p><p> </p><p>23 Thornton le Fylde Christ Church</p><p> </p><p>24 Fleetwood St Nicholas</p><p>25 Little Thornton St John</p><p>Closed churches are the responsibility for the care and maintenance of a closed church rests with the Diocesan Board of Finance during the time that a use is being sought following closure. There are currently very few closed churches in the Diocese of Blackburn and we are not aware that there has been lead roof theft from any closed church in Blackburn Diocese in the years from 2012. We are aware of one earlier theft of lead from the roof of a former church building in the Great Harwood area of Accrington. This building has since been demolished and the site sold for residential development.</p>","Spelman, Caroline",2015-09-09,Not found
"Hendrick, Mark","To ask the right hon. Member for Meriden, representing the Church Commissioners, which Church of England dioceses have published regulations on monuments on burial plots and inscriptions on gravestones; which dioceses (a) allow and (b) do not allow nicknames on gravestones; which dioceses allow monuments; which dioceses (i) allow and (ii) do not allow pictorial etchings on gravestones; and which dioceses (A) allow and (B) do not allow free-standing containers on burial plots.",9765,Preston,2015-09-09,"<p>The information requested is not held centrally, while there is central guidance available, each Diocese and Parish applies the regulations to their local circumstances. Without more specific information about which parish is being referred to in the question further comment is not further comment is not possible.</p><p> </p><p> </p><p>Our advice would be to contact the Diocesan Registrar for Blackburn will know how these regulations are applied locally. The Registrar can be contacted at the Diocesan Office:</p><p> </p><p>Church House, Cathedral Close, Blackburn, BB1 5AA</p><p> </p><p>You may also wish to refer to page 4 of the Diocesan guide to the churchyard regulations available at the following link. <br>This document gives the general advice for the Diocese of Blackburn.</p><p> </p><p><a href=""http://www.blackburn.anglican.org/images/Information/Churchyard%20Regulations%202014.pdf"" target=""_blank"">http://www.blackburn.anglican.org/images/Information/Churchyard%20Regulations%202014.pdf</a></p><p> </p>","Spelman, Caroline",2015-09-15,Not found
"Onwurah, Chi","To ask the right hon. Member for Meriden, representing the Church Commissioners, what steps the Church of England is taking to support communities to the demand for Church-run food banks.",901263,Newcastle upon Tyne Central,2015-09-07,"<p>Following the 'Feeding Britain' report published by the Hon. member for Birkenhead and the Lord Bishop of Truro in December 2014 the Church has continued its monitoring of food bank usage and offering support for those who are in need of the emergency food services.</p><p> </p><p>81% of the 16,000 Church of England parishes are offering support to a food bank with two-thirds involved in running or operating a food bank,</p><p>76% of churches collect food for a local food bank,</p><p>39% provide volunteers,</p><p>29% help to manage one,</p><p>22% give out vouchers</p><p>14% offer the use of their premises.</p><p> </p><p>More information about the work of the Church of England and our involvement with foodbanks can be found in the following Church Urban Fund report: Church in Action</p><p><a href=""http://www.cuf.org.uk/sites/default/files/PDFs/Research/Church-in-Action-2015_0.pdf"" target=""_blank"">http://www.cuf.org.uk/sites/default/files/PDFs/Research/Church-in-Action-2015_0.pdf</a></p>","Spelman, Caroline",2015-09-10,Labour
"Jackson, Stewart","To ask the right hon. Member for Meriden, representing the Church Commissioners, what progress has been made on land disposals for residential housing by the Church Commissioners at (a) Paston Reserve and (b) Norwood urban extensions near Peterborough; and if she will make a statement.",12406,Peterborough,2015-10-19,"<p>The Church Commissioners have two strategic land sites at Peterborough; Paston Reserve and Norwood. Both sites are allocated as residential urban extension sites in Peterborough City Council’s adopted Core Strategy and Site Allocations Development Plan Documents. It is the Commissioners’ intention, over the long term, to make these sites available to facilitate the delivery of housing and other infrastructure.</p><p /> <p>The construction of Paston Reserve, which has planning permission for over 1,000 houses, local facilities (including a primary school), open space and other infrastructure, began in 2014. The first residential phase of development comprises 87 houses and the first houses on site were sold by the developer, Keepmoat Homes, in early 2015. Discussions in regard to a second phase of development on the site are underway and it is expected that work on site will commence in late 2016.</p><p /> <p>With respect to Norwood, the Commissioners worked with the local planning authority through the development plan process, which saw the site’s allocation for 2,300 new houses, and are committed to bringing forward the land for development. Pre-application work is currently being progressed with the other landowners across the site and initial discussions have been had with Peterborough City Council about the site’s delivery and potential timescales for an outline planning application.</p><br />","Spelman, Caroline",2015-10-27,Conservative
"Thomas, Gareth","To ask the right hon. Member for Meriden, representing the Church Commissioners, what steps the Church Commissioners are taking to promote the use of credit unions in the work of the Church of England; and if she will make a statement.",13505,Harrow West,2015-10-26,"<p>The Church of England’s work in support of credit unionshas been led by the Archbishop of Canterbury’s Task Group on Responsible Credit and Savings, chaired by Sir Hector Sants. Nationally, the Task Group has developed a number of strategic, church-led initiatives, including matching the resources of local churches with the diverse needs of local credit unions through the Church Credit Champions Network. To date, the pilot scheme has engaged over 200 churches, trained 150 Credit Champions and is on target to bring in 3,000+ new credit union members across London, Southwark and Liverpool dioceses, with plans to roll out to 30 more dioceses from next year.</p><p>The Church of England is also running the ‘LifeSavers’ programme which is piloting a holistic financial education programme linked to savings clubs in primary schools. This was trialled successfully in Church of England primary schools during 2015 and will be rolled out to a further 120 church and community schools from early 2016, helping to raise the profile of credit unions in these communities.</p><p>Locally, dioceses and churches are involved in a wide range of activities in support of credit unions, from running mass sign-ups and marketing campaigns and recruiting volunteers to the board of credit unions to hosting access points in church building and promoting payroll saving through links with local employers. According to a Church Urban Fund survey, 17% of Anglican parishes are actively involved in supporting credit unions in various ways. This activity has generated widespread coverage in national and local media, raising public awareness of credit unions. Further information is available on our dedicated website: <a href=""http://www.toyourcredit.org.uk/"" target=""_blank"">www.toyourcredit.org.uk</a></p><br />","Spelman, Caroline",2015-10-28,Labour (Co-op)
"Jackson, Stewart","To ask the right hon. Member for Meriden, representing the Church Commissioners, for what reason the Church Commissioners have not released land for the construction of a primary school, in accordance with previous legal undertakings, at the Paston Reserve urban extension in Peterborough; and if she will make a statement.",16388,Peterborough,2015-11-16,"<p>The Church Commissioners are involved in the development of Paston Reserve in Peterborough. Within the development there is provision for a site and financial contributions towards the delivery of a primary school site as outlined within the agreed Section 106 legal agreement that accompanied the planning permission, and that was varied by agreement with the Council in 2010. The Section 106 agreement provides that the primary school site must be delivered prior to any house occupation on the third phase of development on the site and also outlines the trigger points at which the financial contributions for the school will be provided.</p><p /> <p>Based on these legal requirements, the land for the primary school site at Paston Reserve has not been provided yet, because the site has not progressed to a third phase of development. The first phase on the site is still under construction, and as outlined in our response to the hon. Gentleman’s question [3389] answered on the 29 June 2015, the second phase of development is likely to commence at some point in 2016. The development remains in accordance with the legal provisions of the Section 106 agreed with Peterborough Council.</p><br />","Spelman, Caroline",2015-11-20,Conservative
"Hendrick, Mark","To ask the right hon. Member for Meriden, representing the Church Commissioners, what investment the Church of England has in cinemas and buildings housing cinemas.",17708,Preston,2015-11-25,"<p>The Church Commissioners’ UK investments include just over £300,000 of directly held cinema group shares. In addition the Commissioners have indirect investment exposure to cinemas via property holdings in the Metrocentre, Bluewater and Cheshire Oaks retail shopping centres, all of which contain cinemas. Finally, the Commissioners have identified a very small indirect exposure to a cinema in our UK private equity portfolio.</p><br />","Spelman, Caroline",2015-11-30,Not found
