"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"11",11,"124477","To ask the Secretary of State for International Trade, what support the Government provides to small and medium businesses engaged in international disputes when legal routes are not affordable for those businesses.","<p>The European Commission currently leads on international trade disputes on behalf of the UK. The Government may pursue formal action on trade disputes through the World Trade Organisation via the European Commission where it considers this is in the UK's interests. It is for companies to take commercial decisions on whether to seek legal advice in support of alleged business to business disputes.</p>","Wishart, Pete","Scottish National Party","Perth and North Perthshire","Stuart, Graham",2018-01-23,2018-01-30,10,"small, medium, sized"
"12",12,"124515","To ask the Secretary of State for International Trade, how much money his Department has spent on bottled water in each year since its establishment.","<p>The department does not purchase bottled water or water cooler bottles, and has not since its establishment. The water coolers use water fed directly from the mains supply.</p>","Farron, Tim","Liberal Democrat","Westmorland and Lonsdale","Hands, Greg",2018-01-23,2018-01-30,11,"six, months, money"
"13",13,"123931","To ask the Secretary of State for International Trade, what discussions his Department has had with (a) BAe and (b) Rolls Royce on the viability of the Turkish Government's plan to field a prototype aircraft by 2023 as part of its TF-X indigenous fighter programme.","<p>The Department has had a number of discussions with both companies and TAI and SSM regarding the future timetable for production of the TF-X aircraft.</p><p> </p>","Jones, Kevan","Labour","North Durham","Stuart, Graham",2018-01-22,2018-01-25,6,"commissioners, held, fighter"
"14",14,"123949","To ask the Secretary of State for International Trade, who travelled with him in his delegation to Turkey on Friday 12 January 2018.","<p>My Rt Hon Friend the Secretary of State for International Trade was accompanied on his visit to Turkey by a private secretary, special adviser and press officer as is common for ministers undertaking high-profile international visits.</p>","Jones, Kevan","Labour","North Durham","Stuart, Graham",2018-01-22,2018-01-25,12,"pool, delegates, led"
"15",15,"123965","To ask the Secretary of State for International Trade, how many of his Department's staff are working on establishing the proposed new Trade Remedies Authority.","<p>There are currently 25 members of staff within the Department for International Trade tasked with the policy and framework development, including creating legislation, for the Trade Remedies Authority. Specialist staff may also be called upon, such as lawyers.</p>","Kyle, Peter","Labour","Hove","Stuart, Graham",2018-01-22,2018-01-25,4,"remedies, board, authority"
"16",16,"123967","To ask the Secretary of State for International Trade, what his plans are for the staff requirement upon full establishment of the proposed Trade Remedies Authority.","<p>We are currently undertaking an organisation design process to determine the precise capacity and capability requirements for the Trade Remedies Authority.</p><p> </p><p>We have reviewed the structures, caseloads and resources of a range of trade remedies systems. We have also worked closely with counterparts in other UK government departments and arm’s-length bodies.</p><p> </p><p>We are committed to creating an organisation that has the appropriate number of people, skills and infrastructure to investigate cases and assess injury quickly and effectively, in order to ensure that we can continue to protect UK Business from unfair and injurious trading practices.</p>","Kyle, Peter","Labour","Hove","Hands, Greg",2018-01-22,2018-01-25,4,"remedies, board, authority"
"17",17,"123991","To ask the Secretary of State for International Trade, how many UK arms export licenses have been granted to India in each of the last five years.","<p>All export licence applications are considered on a case-by-case basis against the Consolidated EU and National Arms Export Licensing Criteria, known as the Consolidated Criteria, based on the most up-to-date information and analysis available, including reports from NGOs and our overseas network.</p><p>The Government publishes Official Statistics (on a quarterly and annual basis) on export licences granted and refused on GOV.UK and can be found at: <a href=""https://www.gov.uk/government/collections/strategic-export-controls-licensing-data"" target=""_blank"">https://www.gov.uk/government/collections/strategic-export-controls-licensing-data</a></p><p>Currently this includes information up to 30 September 2017. Information covering 1 October to 31 December 2017 will be published in April 2018. The data for 2017 is therefore only available for January – September 2017. The figures for licences granted for military exports are as follows:</p><table><tbody><tr><td><p><strong> </strong></p></td><td><p><strong>India</strong></p></td><td><p><strong>Indonesia</strong></p></td><td><p><strong>Saudi Arabia</strong></p></td></tr><tr><td><p>2013</p></td><td><p>626</p></td><td><p>173</p></td><td><p>148</p></td></tr><tr><td><p>2014</p></td><td><p>570</p></td><td><p>154</p></td><td><p>148</p></td></tr><tr><td><p>2015</p></td><td><p>615</p></td><td><p>180</p></td><td><p>194</p></td></tr><tr><td><p>2016</p></td><td><p>619</p></td><td><p>190</p></td><td><p>119</p></td></tr><tr><td><p>Q1-Q3 2017</p></td><td><p>469</p></td><td><p>172</p></td><td><p>134</p></td></tr></tbody></table><p> </p>","Sobel, Alex","Labour (Co-op)","Leeds North West","Stuart, Graham",2018-01-22,2018-01-30,13,"license, arms, export"
"18",18,"123992","To ask the Secretary of State for International Trade, how many UK arms export licenses have been granted to Indonesia in each of the last five years.","<p>All export licence applications are considered on a case-by-case basis against the Consolidated EU and National Arms Export Licensing Criteria, known as the Consolidated Criteria, based on the most up-to-date information and analysis available, including reports from NGOs and our overseas network.</p><p>The Government publishes Official Statistics (on a quarterly and annual basis) on export licences granted and refused on GOV.UK and can be found at: <a href=""https://www.gov.uk/government/collections/strategic-export-controls-licensing-data"" target=""_blank"">https://www.gov.uk/government/collections/strategic-export-controls-licensing-data</a></p><p>Currently this includes information up to 30 September 2017. Information covering 1 October to 31 December 2017 will be published in April 2018. The data for 2017 is therefore only available for January – September 2017. The figures for licences granted for military exports are as follows:</p><table><tbody><tr><td><p><strong> </strong></p></td><td><p><strong>India</strong></p></td><td><p><strong>Indonesia</strong></p></td><td><p><strong>Saudi Arabia</strong></p></td></tr><tr><td><p>2013</p></td><td><p>626</p></td><td><p>173</p></td><td><p>148</p></td></tr><tr><td><p>2014</p></td><td><p>570</p></td><td><p>154</p></td><td><p>148</p></td></tr><tr><td><p>2015</p></td><td><p>615</p></td><td><p>180</p></td><td><p>194</p></td></tr><tr><td><p>2016</p></td><td><p>619</p></td><td><p>190</p></td><td><p>119</p></td></tr><tr><td><p>Q1-Q3 2017</p></td><td><p>469</p></td><td><p>172</p></td><td><p>134</p></td></tr></tbody></table><p> </p>","Sobel, Alex","Labour (Co-op)","Leeds North West","Stuart, Graham",2018-01-22,2018-01-30,13,"license, arms, export"
"19",19,"123993","To ask the Secretary of State for International Trade, how many UK arms export licenses have been granted to Saudi Arabia in each of the last five years.","<p>All export licence applications are considered on a case-by-case basis against the Consolidated EU and National Arms Export Licensing Criteria, known as the Consolidated Criteria, based on the most up-to-date information and analysis available, including reports from NGOs and our overseas network.</p><p>The Government publishes Official Statistics (on a quarterly and annual basis) on export licences granted and refused on GOV.UK and can be found at: <a href=""https://www.gov.uk/government/collections/strategic-export-controls-licensing-data"" target=""_blank"">https://www.gov.uk/government/collections/strategic-export-controls-licensing-data</a></p><p>Currently this includes information up to 30 September 2017. Information covering 1 October to 31 December 2017 will be published in April 2018. The data for 2017 is therefore only available for January – September 2017. The figures for licences granted for military exports are as follows:</p><table><tbody><tr><td><p><strong> </strong></p></td><td><p><strong>India</strong></p></td><td><p><strong>Indonesia</strong></p></td><td><p><strong>Saudi Arabia</strong></p></td></tr><tr><td><p>2013</p></td><td><p>626</p></td><td><p>173</p></td><td><p>148</p></td></tr><tr><td><p>2014</p></td><td><p>570</p></td><td><p>154</p></td><td><p>148</p></td></tr><tr><td><p>2015</p></td><td><p>615</p></td><td><p>180</p></td><td><p>194</p></td></tr><tr><td><p>2016</p></td><td><p>619</p></td><td><p>190</p></td><td><p>119</p></td></tr><tr><td><p>Q1-Q3 2017</p></td><td><p>469</p></td><td><p>172</p></td><td><p>134</p></td></tr></tbody></table><p> </p>","Sobel, Alex","Labour (Co-op)","Leeds North West","Stuart, Graham",2018-01-22,2018-01-30,13,"license, arms, export"
"20",20,"124053","To ask the Secretary of State for International Trade, pursuant to Answer of 15 January 2018 to Question 122006 on Arms Trade: Trade Fairs, if he will publish the ranks of the Military Escort Officers who attended (a) DSEI 2017 and  (b) Farnborough 2016; and what the ranks are of the Military Escort Officers who are planned to attend the Security and Policing expo in Farnborough in March 2018.","<p>The number of countries attending, number of Military Escort Officers and their ranks are shown in the tables below for both Defence and Security Equipment International 2017 (DSEI) and Farnborough International Airshow 2016 (FIA).</p><p> </p><p>The number and ranks of Military Escort Officers who will volunteer at Security and Policing 2018 is not yet known.</p><table><tbody><tr><td colspan=""3""><p><strong>Farnborough International Airshow 2016</strong></p></td></tr><tr><td><p><strong>Number of Countries</strong></p></td><td><p><strong>Number of Military Escort Officers</strong></p></td><td><p><strong>Rank of Military Escort Officers</strong></p></td></tr><tr><td rowspan=""10""><p>35</p></td><td><p>4</p></td><td><p>Second Lieutenant</p></td></tr><tr><td><p>3</p></td><td><p>Lieutenant</p></td></tr><tr><td><p>14</p></td><td><p>Captain</p></td></tr><tr><td><p>24</p></td><td><p>Major</p></td></tr><tr><td><p>1</p></td><td><p>Colonel</p></td></tr><tr><td><p>3</p></td><td><p>Flying Officer</p></td></tr><tr><td><p>2</p></td><td><p>Squadron Leader</p></td></tr><tr><td><p>1</p></td><td><p>Pilot Officer</p></td></tr><tr><td><p>5</p></td><td><p>Flight Lieutenant</p></td></tr><tr><td><p>1</p></td><td><p>Lieutenant Commander</p></td></tr></tbody></table><p> </p><p> </p><p> </p><table><tbody><tr><td colspan=""3""><p><strong>Defence and Security Equipment International 2017</strong></p></td></tr><tr><td><p><strong>Number of Countries</strong></p></td><td><p><strong>Number of Military Escort Officers</strong></p></td><td><p><strong>Rank of Military Escort Officers</strong></p></td></tr><tr><td rowspan=""12""><p>44</p></td><td><p>2</p></td><td><p>Second Lieutenant</p></td></tr><tr><td><p>10</p></td><td><p>Lieutenant</p></td></tr><tr><td><p>17</p></td><td><p>Captain</p></td></tr><tr><td><p>27</p></td><td><p>Major</p></td></tr><tr><td><p>1</p></td><td><p>Lieutenant Colonel</p></td></tr><tr><td><p>2</p></td><td><p>Flying Officer</p></td></tr><tr><td><p>1</p></td><td><p>Commander</p></td></tr><tr><td><p>2</p></td><td><p>Pilot Officer</p></td></tr><tr><td><p>2</p></td><td><p>Flight Lieutenant</p></td></tr><tr><td><p>4</p></td><td><p>Lieutenant Commander</p></td></tr><tr><td><p>8</p></td><td><p>Lieutenant Royal Navy</p></td></tr><tr><td><p>3</p></td><td><p>Second Lieutenant Royal Navy</p></td></tr></tbody></table><p> </p><p> </p><p> </p><p>Source: DIT DSO Inward Visits Unit</p><p> </p><p>Military Escort Officers are drawn from both the Reserves and the Regular Armed Forces. One Military Escort Officer is normally assigned to chaperone each foreign delegation attending.</p><p> </p>","Russell-Moyle, Lloyd","Labour (Co-op)","Brighton, Kemptown","Stuart, Graham",2018-01-22,2018-01-25,14,"steel, office, industry"
"21",21,"124054","To ask the Secretary of State for International Trade, pursuant to the Answer of 15 January 2018 to Question 122006, how many ranks of the Military Escort Officers chaperoned each national delegation to which they were assigned for (a) DSEI 2017 and (b) Farnborough 2016; and how many ranks of the Military Escort Officers are planned to chaperone each national delegation to which are to be assigned for the Security and Policing expo in Farnborough in March 2018.","<p>The number of countries attending, number of Military Escort Officers and their ranks are shown in the tables below for both Defence and Security Equipment International 2017 (DSEI) and Farnborough International Airshow 2016 (FIA).</p><p> </p><p>The number and ranks of Military Escort Officers who will volunteer at Security and Policing 2018 is not yet known.</p><table><tbody><tr><td colspan=""3""><p><strong>Farnborough International Airshow 2016</strong></p></td></tr><tr><td><p><strong>Number of Countries</strong></p></td><td><p><strong>Number of Military Escort Officers</strong></p></td><td><p><strong>Rank of Military Escort Officers</strong></p></td></tr><tr><td rowspan=""10""><p>35</p></td><td><p>4</p></td><td><p>Second Lieutenant</p></td></tr><tr><td><p>3</p></td><td><p>Lieutenant</p></td></tr><tr><td><p>14</p></td><td><p>Captain</p></td></tr><tr><td><p>24</p></td><td><p>Major</p></td></tr><tr><td><p>1</p></td><td><p>Colonel</p></td></tr><tr><td><p>3</p></td><td><p>Flying Officer</p></td></tr><tr><td><p>2</p></td><td><p>Squadron Leader</p></td></tr><tr><td><p>1</p></td><td><p>Pilot Officer</p></td></tr><tr><td><p>5</p></td><td><p>Flight Lieutenant</p></td></tr><tr><td><p>1</p></td><td><p>Lieutenant Commander</p></td></tr></tbody></table><p> </p><p> </p><p> </p><table><tbody><tr><td colspan=""3""><p><strong>Defence and Security Equipment International 2017</strong></p></td></tr><tr><td><p><strong>Number of Countries</strong></p></td><td><p><strong>Number of Military Escort Officers</strong></p></td><td><p><strong>Rank of Military Escort Officers</strong></p></td></tr><tr><td rowspan=""12""><p>44</p></td><td><p>2</p></td><td><p>Second Lieutenant</p></td></tr><tr><td><p>10</p></td><td><p>Lieutenant</p></td></tr><tr><td><p>17</p></td><td><p>Captain</p></td></tr><tr><td><p>27</p></td><td><p>Major</p></td></tr><tr><td><p>1</p></td><td><p>Lieutenant Colonel</p></td></tr><tr><td><p>2</p></td><td><p>Flying Officer</p></td></tr><tr><td><p>1</p></td><td><p>Commander</p></td></tr><tr><td><p>2</p></td><td><p>Pilot Officer</p></td></tr><tr><td><p>2</p></td><td><p>Flight Lieutenant</p></td></tr><tr><td><p>4</p></td><td><p>Lieutenant Commander</p></td></tr><tr><td><p>8</p></td><td><p>Lieutenant Royal Navy</p></td></tr><tr><td><p>3</p></td><td><p>Second Lieutenant Royal Navy</p></td></tr></tbody></table><p> </p><p> </p><p> </p><p>Source: DIT DSO Inward Visits Unit</p><p> </p><p>Military Escort Officers are drawn from both the Reserves and the Regular Armed Forces. One Military Escort Officer is normally assigned to chaperone each foreign delegation attending.</p><p> </p>","Russell-Moyle, Lloyd","Labour (Co-op)","Brighton, Kemptown","Stuart, Graham",2018-01-22,2018-01-25,14,"steel, office, industry"
"22",22,"124238","To ask the Secretary of State for International Trade, pursuant to the Answer of 9 January 2018 to Question 120867, on Trade Agreements, for what reason he has not listed the organisations that submitted responses to his Trade White Paper.","<p>I refer the Hon Member for Sefton Central to the answer given by me on 17 January. UIN: 122189</p>","Esterson, Bill","Labour","Sefton Central","Hands, Greg",2018-01-22,2018-01-25,15,"responses, submitted, 120867"
"23",23,"124239","To ask the Secretary of State for International Trade, pursuant to the Answer of 19 January 2018 to Question 122986, what representations he has received on whether the adoption of existing EU Free Trade Agreements with third party countries can only happen with the agreement of the EU and those countries.","<p>Since the Trade White Paper was published, the Government has engaged extensively with stakeholders and will continue this programme of engagement until continuity in trade agreements is secured.</p><p>Respondents have welcomed the government’s commitment to providing stability and certainty for businesses and consumers, by seeking to continue existing EU-Third country trade agreements. The Government is working towards this end.</p>","Esterson, Bill","Labour","Sefton Central","Hands, Greg",2018-01-22,2018-01-25,16,"existing, free, seek"
"24",24,"124240","To ask the Secretary of State for International Trade, pursuant to the Answer of 19 January 2018 to Question 122985, what representations he has received on whether provisions on trade in services in any existing EU free trade agreements that are transitioned after the UK leaves the EU will be governed by EU regulations.","<p>Since the Trade White Paper was published, the Government has engaged extensively with stakeholders on a whole range of issues and will continue this programme of engagement until continuity in trade agreements is secured. Respondents have welcomed the government’s commitment to providing stability and certainty for businesses and consumers, by seeking to continue existing EU-Third country trade agreements. The Government is working to this end.</p>","Esterson, Bill","Labour","Sefton Central","Hands, Greg",2018-01-22,2018-01-29,16,"existing, free, seek"
"25",25,"123815","To ask the Secretary of State for International Trade, how many former Conservative Members of Parliament who were defeated at the 2017 general election and who now work in his Department were appointed after a publicly advertised and open recruitment process.","<p>No former Conservative Members of Parliament who were defeated at the General Election in 2017 are currently employed by the Department for International Trade.</p>","Pollard, Luke","Labour (Co-op)","Plymouth, Sutton and Devonport","Hands, Greg",2018-01-19,2018-01-29,17,"wales, open, help"
"26",26,"123851","To ask the Secretary of State for International Trade, how many disposable coffee cups have been purchased by his Department since it's establishment.","<p>The information requested is not held centrally.</p><p> </p><p>Disposable coffee cups used within the department are purchased by an external catering supplier, who is unable to provide this information.</p><p> </p><p>Staff and visitors are encouraged to dispose of waste appropriately and use recycling facilities where it is appropriate to do so.</p><p> </p>","Creagh, Mary","Labour","Wakefield","Hands, Greg",2018-01-19,2018-01-29,18,"wto, schedules, modification"
"27",27,"123627","To ask the Secretary of State for International Trade, what the current status is of Government involvement in the partnership between BAE Systems and Turkish Aerospace Industries to develop the TF-X fighter aircraft.","The Government has had no involvement in the partnership (commercial discussions) between BAE Systems and Turkish Aerospace Industries to develop the TF-X fighter aircraft. However, the UK Government have taken forward a number of diplomatic activities to support UK industry in pursuit of various TF-X contracts.","Jones, Kevan","Labour","North Durham","Stuart, Graham",2018-01-18,2018-01-23,6,"commissioners, held, fighter"
"28",28,"123632","To ask the Secretary of State for International Trade, what plans he has for recognising protected food names in future trade agreements after the UK leaves the EU.","<p>The Government’s objective in any trade negotiations will be to support the best possible outcome for the UK economy as a whole.</p><p>The EU withdrawal bill will transfer into domestic law the EU schemes that currently protect our Geographic Indications (GIs).</p><p>Future protection for current UK GIs in EU Member States, and for GIs in the UK, is subject to negotiations with the EU.</p><p>Some of the GI designations that the UK has, for instance protecting Scotch whisky in the US, are governed by agreements outside the EU Protected Food Name Scheme.</p>","Cameron, Dr Lisa","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","Hands, Greg",2018-01-18,2018-01-23,19,"protect, nhs, bloc"
"29",29,"123272","To ask the Secretary of State for International Trade, whether his Department has had discussions with the Global Vehicle Trust on export support for the Ox flat-packed truck for the developing world.","<p>My Department has actively supported the Global Vehicle Trust (GVT) in promoting the OX, and in seeking investors and manufacturing partners. This support included helping arrange for the OX to be displayed at the Low Carbon Vehicle show at Millbrook, Bedfordshire in 2016, and introducing GVT to potential international partners at the show; and discussions in 2017 between our Post in India and potential local partners. My Department continues to offer its support to this project.</p>","Kerr, Stephen","Conservative","Stirling","Stuart, Graham",2018-01-17,2018-01-25,20,"education, goods, export"
"30",30,"123407","To ask the Secretary of State for International Trade, when he last raised with the US administration the issue of the 300 per cent tariff imposed on Bombardier by the its Department of Commerce.","<p>HMG Ministers and Officials have been actively engaging with the US Administration, Canadian Government, Boeing and Bombardier to facilitate a resolution to this dispute. Ministers and senior officials have had numerous calls and meetings with the US administration and Congress, including with Boeing in relation to this dispute specifically. In addition, the Prime Minister has raised this issue a number of times with President Trump.</p><p>The UK Government has maintained that Boeing’s complaint to the US Department of Commerce is unjustified, and we will continue to strongly defend our case.</p>","Stevens, Jo","Labour","Cardiff Central","Hands, Greg",2018-01-17,2018-01-22,21,"bombardier, dispute, boeing"
"31",31,"123551","To ask the Secretary of State for International Trade, pursuant to the oral contribution of the Parliamentary Under-Secretary of State for International Trade of 11 January 2018 official report, column 452, when he plans to publish the budget for 2017-18 for the Trade Access Partnership.","<p>The Department for International Trade does not have a programme called the Trade Access Partnership. This question is being answered in response to the Tradeshow Access Programme (TAP).</p><p>We plan to publish the 2018-19 programme of TAP supported events at: <a href=""https://www.gov.uk/guidance/tradeshow-access-programme"" target=""_blank"">https://www.gov.uk/guidance/tradeshow-access-programme</a> shortly.</p>","Esterson, Bill","Labour","Sefton Central","Stuart, Graham",2018-01-17,2018-01-22,22,"oral, contribution, parliamentary"
"32",32,"122966","To ask the Secretary of State for International Trade, who the full members of the Board of Trade are.","<p>The new Board of Trade is led by the President of the Board of Trade. The Secretaries of State for the Territorial Offices and other Department for International Trade Ministers have a standing invitation to attend the meetings. The work of the Board of Trade is supported by a group of Advisers. A full list of the Advisers to the Board of Trade can be found at: https://www.gov.uk/government/news/international-trade-secretary-dr-liam-fox-convenes-a-new-board-of-trade-to-ensure-the-benefits-of-free-trade-are-spread-throughout-the-uk</p><p>The next meeting of the Board of Trade will take place in the first quarter of 2018.</p><p>The purpose of the Board of Trade is to support businesses and spread the benefits of trade and investment to all parts of the United Kingdom by maximising the positive impact of the support that HMG provides to English regions, Scotland, Wales and Northern Ireland.</p>","West, Catherine","Labour","Hornsey and Wood Green","Stuart, Graham",2018-01-16,2018-01-19,4,"remedies, board, authority"
"33",33,"122967","To ask the Secretary of State for International Trade, when the Board of Trade plans next to meet.","<p>The new Board of Trade is led by the President of the Board of Trade. The Secretaries of State for the Territorial Offices and other Department for International Trade Ministers have a standing invitation to attend the meetings. The work of the Board of Trade is supported by a group of Advisers. A full list of the Advisers to the Board of Trade can be found at: https://www.gov.uk/government/news/international-trade-secretary-dr-liam-fox-convenes-a-new-board-of-trade-to-ensure-the-benefits-of-free-trade-are-spread-throughout-the-uk</p><p>The next meeting of the Board of Trade will take place in the first quarter of 2018.</p><p>The purpose of the Board of Trade is to support businesses and spread the benefits of trade and investment to all parts of the United Kingdom by maximising the positive impact of the support that HMG provides to English regions, Scotland, Wales and Northern Ireland.</p>","West, Catherine","Labour","Hornsey and Wood Green","Stuart, Graham",2018-01-16,2018-01-19,2,"next, envoy, year"
"34",34,"122969","To ask the Secretary of State for International Trade, what the agenda is for the next meeting of the Board of Trade.","<p>The new Board of Trade is led by the President of the Board of Trade. The Secretaries of State for the Territorial Offices and other Department for International Trade Ministers have a standing invitation to attend the meetings. The work of the Board of Trade is supported by a group of Advisers. A full list of the Advisers to the Board of Trade can be found at: https://www.gov.uk/government/news/international-trade-secretary-dr-liam-fox-convenes-a-new-board-of-trade-to-ensure-the-benefits-of-free-trade-are-spread-throughout-the-uk</p><p>The next meeting of the Board of Trade will take place in the first quarter of 2018.</p><p>The purpose of the Board of Trade is to support businesses and spread the benefits of trade and investment to all parts of the United Kingdom by maximising the positive impact of the support that HMG provides to English regions, Scotland, Wales and Northern Ireland.</p>","West, Catherine","Labour","Hornsey and Wood Green","Stuart, Graham",2018-01-16,2018-01-19,2,"next, envoy, year"
