"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"11",11,"108390","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will take steps to work with broadcasting regulators to prevent advertisements for high-sugar food and drinks products being shown on television before the 9pm watershed.","<p>I refer the hon member to my answer to PQ 108086.</p>","Vaz, Keith","Labour","Leicester East","Hancock, Matt",2017-10-18,2017-10-23,7,"9pm, food, sugar"
"12",12,"108122","To ask the Secretary of State for Digital, Culture, Media and Sport, how many registered consultancies of the Government's Cyber Essentials scheme had data exposed due to a configuration error in the Pervade Software platform.","<p>A configuration error in the Pervade Software platform used by an external third party led to system logs from companies, including assessors of and applicants to the Cyber Essentials scheme, being exposed, though there has been no evidence to suggest data was extracted.</p>","Gwynne, Andrew","Labour","Denton and Reddish","Hancock, Matt",2017-10-17,2017-10-25,11,"cyber, essentials, scheme"
"13",13,"108123","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will place in the Library guidance issued to registered consultancies of the Government's Cyber Essentials scheme whose data was exposed due to a configuration error in the Pervade Software platform.","<p>A configuration error in the Pervade Software platform used by an external third party led to system logs containing 801 email addresses, user names, company name, and IP addresses from 800 companies, including assessors of and applicants to the Cyber Essentials scheme, being exposed. There has been no evidence to suggest this data was extracted. The Cyber Essential Scheme's operation has not been adversely affected. The most up to date guidance explaining what to do following a data breach is published on the NCSC website. <strong> </strong></p><p> </p>","Gwynne, Andrew","Labour","Denton and Reddish","Hancock, Matt",2017-10-17,2017-10-25,11,"cyber, essentials, scheme"
"14",14,"108228","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment her Department has made of the contribution of the UK's programme making and special events sector to the economy.","<p>We recognise the importance of the Programme Makers and Special Events industry to the entertainment sector and the wider UK economy. We will be providing Government funded support to the PMSE industry through the 700MHz spectrum clearance programme, aimed at mitigating the impacts on the industry and enabling them to continue to provide high quality services to the entertainment industry after spectrum clearance.</p><p> </p><p>Following Ofcom advice to Government, Ofcom consulted on a Help Scheme to provide support to the industry. We are awaiting Ofcom’s assessment of responses to this consultation and a decision on the level of support will be made once this has been taken into account.</p><p> </p><p>To further mitigate impacts on the industry, and provide the possibility for future growth, Ofcom has also decided to allocate frequencies in the 960-1164MHz band for PMSE.</p>","O'Hara, Brendan","Scottish National Party","Argyll and Bute","Hancock, Matt",2017-10-17,2017-10-25,12,"programme, special, events"
"15",15,"108271","To ask the Secretary of State for Digital, Culture, Media and Sport, what estimate her Department has made of the revenue that will be generated through the auction of the 700 MHz band of radio spectrum.","<p>We do not make any estimation on revenue from any spectrum auction.</p>","O'Hara, Brendan","Scottish National Party","Argyll and Bute","Hancock, Matt",2017-10-17,2017-10-25,13,"700, mhz, spectrum"
"16",16,"108356","To ask the Secretary of State for Digital, Culture, Media and Sport, whether her Department has estimated the economic cost to the entertainment sector after programme making and special events sector users no longer have access to the 700 MHz radio spectrum accounting for the funding proposed for that sector by Ofcom.","<p>We recognise the importance of the Programme Makers and Special Events industry to the entertainment sector and the wider UK economy. We will be providing Government funded support to the PMSE industry through the 700MHz spectrum clearance programme, aimed at mitigating the impacts on the industry and enabling them to continue to provide high quality services to the entertainment industry after spectrum clearance.</p><p> </p><p>Following Ofcom advice to Government, Ofcom consulted on a Help Scheme to provide support to the industry. We are awaiting Ofcom’s assessment of responses to this consultation and a decision on the level of support will be made once this has been taken into account.</p><p> </p><p>To further mitigate impacts on the industry, and provide the possibility for future growth, Ofcom has also decided to allocate frequencies in the 960-1164MHz band for PMSE.</p>","O'Hara, Brendan","Scottish National Party","Argyll and Bute","Hancock, Matt",2017-10-17,2017-10-25,13,"700, mhz, spectrum"
"17",17,"108229","To ask the Secretary of State for Digital, Culture, Media and Sport, what the reason was for the decision to restrict the Programme Making and Special Events funding scheme to the residual value of equipment.","<p>Ofcom consulted on a Help Scheme for Programme Makers and Special Events earlier this year. Government is awaiting Ofcom’s assessment of responses to that consultation, with a final decision on the Help scheme yet to be taken.</p>","O'Hara, Brendan","Scottish National Party","Argyll and Bute","Hancock, Matt",2017-10-17,2017-10-25,12,"programme, special, events"
"18",18,"108230","To ask the Secretary of State for Digital, Culture, Media and Sport, what discussions her Department has had with Ofcom on the non-equipment costs to businesses in the Programme Making and Special Events sector as a result of the clearance of the 700 MHz band.","<p>Ofcom consulted on a Help Scheme for Programme Makers and Special Events earlier this year. Government is awaiting Ofcom’s assessment of responses to that consultation, with a final decision on the Help scheme yet to be taken.</p>","O'Hara, Brendan","Scottish National Party","Argyll and Bute","Hancock, Matt",2017-10-17,2017-10-25,13,"700, mhz, spectrum"
"19",19,"108233","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment her Department has made of the effect on the live entertainment sector in terms of production value and economic cost as a result of the decision to clear the 700 MHz radio spectrum band.","<p>We recognise the importance of the Programme Makers and Special Events industry to the entertainment sector and the wider UK economy. We will be providing Government funded support to the PMSE industry through the 700MHz spectrum clearance programme, aimed at mitigating the impacts on the industry and enabling them to continue to provide high quality services to the entertainment industry after spectrum clearance.</p><p> </p><p>Following Ofcom advice to Government, Ofcom consulted on a Help Scheme to provide support to the industry. We are awaiting Ofcom’s assessment of responses to this consultation and a decision on the level of support will be made once this has been taken into account.</p><p> </p><p>To further mitigate impacts on the industry, and provide the possibility for future growth, Ofcom has also decided to allocate frequencies in the 960-1164MHz band for PMSE.</p>","O'Hara, Brendan","Scottish National Party","Argyll and Bute","Hancock, Matt",2017-10-17,2017-10-25,13,"700, mhz, spectrum"
"20",20,"108354","To ask the Secretary of State for Digital, Culture, Media and Sport, which parts of the UK have the (a) fastest and (b) slowest broadband speeds.","<p>The Department does not hold information on broadband speed as a constituency average. Currently in the hon member's constituency, according to Thinkbroadband, 94.3% of premises have access to Superfast coverage.</p><p>Information on Superfast coverage is available from third party sites like Think Broadband (http://labs.thinkbroadband.com/local/uk).</p>","Smith, Royston","Conservative","Southampton, Itchen","Hancock, Matt",2017-10-17,2017-10-25,14,"broadband, superfast, fibre"
"21",21,"108355","To ask the Secretary of State for Digital, Culture, Media and Sport, how the Government holds to account broadband providers that fail to meet their agreed commitments.","<p>We are supporting investment in superfast and basic broadband through the Broadband Delivery UK (BDUK) Programme. BDUK has a comprehensive project assurance system in place and Government funding is only committed when a contract is fit for purpose. All contracts are proactively managed through the BDUK Programme and, if necessary, robust contractual mechanisms can be applied if contractual commitments are not met.</p>","Smith, Royston","Conservative","Southampton, Itchen","Hancock, Matt",2017-10-17,2017-10-25,15,"holds, information, number"
"22",22,"108321","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 16 October 2017 to Question 106042, what discussions she has had with her Cabinet colleagues on adopting protections against illegal and in-game gambling and loot boxes.","<p>There are strong protections in place against operators of illegal gambling facilities, including within video games. All operators providing gambling services to consumers in Britain require a licence from the Gambling Commission and must adhere to strict requirements for the protection of children and the vulnerable. The Gambling Commission has also commissioned the Responsible Gambling Strategy Board to examine the wider relationship between children and gambling.</p><p>In addition, consumers are protected by the Consumer Protection from Unfair Trading Regulations 2008. This includes a requirement on businesses not to subject anyone to misleading or aggressive marketing practices, or, for example, direct exhortation to buy products, such as games content, including in-game purchases such as loot boxes. The government is committed to ensuring that consumers are properly protected and that children’s vulnerability and inexperience is not exploited by aggressive commercial practices.</p><p>The government’s Internet Safety Strategy sets out how the government will work with online platforms, game publishers and game developers, and with agencies such as the VSC Rating Board, to continue to improve online safety in games.</p><p>The government recognises the risks that come from increasing convergence between gambling and video games. The Gambling Commission is keeping this matter under review and will continue to monitor developments in the market.</p><p> </p><p> </p>","Zeichner, Daniel","Labour","Cambridge","Crouch, Tracey",2017-10-17,2017-10-25,16,"gambling, addiction, problem"
"23",23,"108095","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will make an estimate of the amount spent each year on fixed-odds betting terminals in Glasgow East constituency.","<p>Neither the Department nor the Gambling Commission hold information concerning the number of Fixed-Odds Betting Terminals and, therefore spend in individual constituencies.</p>","Linden, David","Scottish National Party","Glasgow East","Crouch, Tracey",2017-10-17,2017-10-25,5,"odds, betting, terminals"
"24",24,"108086","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment her Department has made of the effect on children's health of restricting the marketing of high in fat, salt or sugar foods before the 9pm watershed.","<p>Current advertising restrictions in the UK on high fat, salt or sugar (HFSS) products are among the toughest in the world. Strict new rules came into effect on 1 July banning the advertising of HFSS food or drink products in children’s media. These restrictions apply across all non-broadcast media including in print, cinema, online and in social media.</p><p> </p><p>In August we announced £5 million investment to fund a national institute for obesity research policy unit to provide a robust evidence base and deeper understanding of the causes of childhood obesity, including marketing to children and families. The unit’s findings will be fed into the department's future policy development and engagement.</p>","Green, Kate","Labour","Stretford and Urmston","Hancock, Matt",2017-10-17,2017-10-19,7,"9pm, food, sugar"
"25",25,"107752","To ask the Secretary of State for Digital, Culture, Media and Sport, when the Tourism Industry Emergency Response Group met over the last year.","<p>Tourism Industry Emergency Response (TIER) has been active through all the terror attacks over the past few months, including convening four meetings since the first attack in March.</p>","Watson, Tom","Labour","West Bromwich East","Glen, John",2017-10-16,2017-10-19,9,"industry, tourism, emergency"
"26",26,"108013","To ask the Secretary of State for Digital, Culture, Media and Sport, what the cost to the public purse was of converting the London Stadium to and from an athletics venue for the 2017 IAAF World Championships.","<p>The London Stadium is owned and managed by E20 Stadium LLP, a joint venture between the London Legacy Development Corporation (LLDC) and Newham Council. E20 Stadium LLP is responsible for the costs of the seat moves which have previously been disclosed as being estimated at circa £8 million a year.</p><p> </p><p>The Mayor of London, to whom the LLDC is directly accountable, has launched an investigation into the costs and operation of the London Stadium. Further information on the stadium costs associated with hosting this year's IAAF World Championships will be available on publication of this investigation’s report by the Mayor and also as part of the standard LLDC and Greater London Authority reporting cycles.</p><p> </p>","Austin, Ian","Labour","Dudley North","Hancock, Matt",2017-10-16,2017-10-24,17,"london, cost, olympic"
"27",27,"107956","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 13 October 2017 to Question 106052, when the complete figures for the numbers of library closures for the last 12 months will be available; and if she will publish the data her Department holds on the numbers of libraries in each constituency in each of the last 10 years.","<p>The Department for Digital, Culture, Media and Sport does not collect or publish data on the number of public library closures in each Parliamentary constituency. Data relating to public libraries is collected from local authorities by the Chartered Institute of Public Finance and Accountancy which makes available the data annually to subscribers.</p><p> </p>","Debbonaire, Thangam","Labour","Bristol West","Glen, John",2017-10-16,2017-10-19,1,"2017, report, publish"
"28",28,"107960","To ask the Secretary of State for Digital, Culture, Media and Sport, what financial assistance is available to cultural institutions which have incurred extra security costs resulting from recent acts of terrorism in London.","<p>I refer the Hon Member to my answer to PQ 106697.</p>","Watson, Tom","Labour","West Bromwich East","Glen, John",2017-10-16,2017-10-19,17,"london, cost, olympic"
"29",29,"107920","To ask the Secretary of State for Digital, Culture, Media and Sport, with reference to the independent review of S4C announced on 7 August 2017, whether information on (a) the deadline for submitting evidence, (b) the questions on which the review is gathering evidence and (c) the contact to whom evidence should be submitted has been made publicly available online.","<p>The scope of the review and the evidence sought is outlined in the terms of reference published on gov.uk. Key partners, stakeholders and parties interested in S4C have been invited to submit evidence for the chair to consider. The chair and review secretariat welcomes evidence from anyone with an interest in S4C.</p>","Brennan, Kevin","Labour","Cardiff West","Hancock, Matt",2017-10-16,2017-10-19,18,"s4c, review, independent"
"30",30,"107944","To ask the Secretary of State for Digital, Culture, Media and Sport, what percentage of UK premises experience broadband download speeds of less than (a) 1MB/s, (b) 2MB/s, (c) 5MB/s and (d) 10 MB/s.","<p>The Department does not hold this level of information. Think Broadband (http://labs.thinkbroadband.com/local/uk) publish up-to-date information on the percentage of premises receiving below 2 and 10 MB/s. These are currently reported as follows:</p><p>0.76% of UK premises experience download speeds below 2Mbps.</p><p>2.81% of UK premises experience download speeds of less than 10Mbps.</p>","Watson, Tom","Labour","West Bromwich East","Hancock, Matt",2017-10-16,2017-10-24,14,"broadband, superfast, fibre"
"31",31,"107945","To ask the Secretary of State for Digital, Culture, Media and Sport, what financial assistance the Government has given to cultural and artistic venues to assist with extra security costs incurred as a result of recent terrorist attacks in London.","<p>I refer the Hon Member to my answer to PQ 106697.</p>","Watson, Tom","Labour","West Bromwich East","Glen, John",2017-10-16,2017-10-19,17,"london, cost, olympic"
"32",32,"107899","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will make an assessment of the equity of regional and national trends in the award of National Lottery grants over the last three years.","<p>National Lottery good cause money is allocated by expert bodies at arm's length from Government, taking account of their own priorities and the need for equitable distribution.</p><p> </p><p>Policy directions are set by DCMS or the devolved administrations as relevant. The Big Lottery Fund, Heritage Lottery Fund, Arts Council England, Sport England and British Film Institute are all required to take equality of access into account in developing programmes and considering grant allocations. This requirement does not apply to UK Sport's as their funding targets elite athletes.</p><p> </p><p>Each distributor takes account of a variety of considerations including geographical spread of funding, deprivation data and participation rates when determining priorities and allocating budget. Distributors run specific programmes designed to encourage applications from less well-represented areas.</p><p> </p><p>Information on projects in receipt of a Lottery award can be found on the National Lottery Grants Database at the following link: http://www.lottery.culture.gov.uk and from Lottery Distributors' own websites. The grants database can be sorted on a national, regional, local authority and constituency level.</p><p> </p><p> </p>","Lucas, Ian","Labour","Wrexham","Crouch, Tracey",2017-10-16,2017-10-24,19,"region, trends, average"
"33",33,"107884","To ask the Secretary of State for Digital, Culture, Media and Sport, on what the £740 million 5G research and infrastructure fund announced in the 2016 Autumn Statement has been spent.","<p>At Autumn Statement 2016, the Government announced a a £1.1bn package to boost the UK’s digital infrastructure. This sum is intended to cover all future connectivity technologies and cover work in this area until 2020-21. This included investment in a nationally coordinated programme of full fibre and 5G Testbed &amp; Trials.</p><p>To date, the Government has invested £16 million for three leading 5G research institutions to establish a test network to test and trial 5G technologies and applications. This week, a £25 million competition was announced to select projects for initial funding as part of the first Phase of the Testbeds &amp; Trials Programme.</p><p>For the Local Full Fibre (LFFN) Programme, the Government announced in September that £10 million has been allocated for 6 full fibre test projects around the country, in Aberdeen and Aberdeenshire, West Sussex, Coventry and Warwickshire, Bristol (with Bath and North East Somerset), West Yorkshire and Greater Manchester. Further measures will be set out in due course.</p><p> </p><p> </p>","Watson, Tom","Labour","West Bromwich East","Hancock, Matt",2017-10-16,2017-10-25,20,"spent, ilkley, town"
"34",34,"107900","To ask the Secretary of State for Digital, Culture, Media and Sport, when she plans to publish the recommendations on fixed-odds betting terminals of the Responsible Gambling Strategy Board and the Gambling Commission.","<p>We hope to make an announcement on the Government’s Review of Gaming Machines and Social Responsibility Measures shortly.</p>","Lucas, Ian","Labour","Wrexham","Crouch, Tracey",2017-10-16,2017-10-24,5,"odds, betting, terminals"
"35",35,"107894","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 16 October 2017 to Question 105517, on Department for Digital, Culture, Media and Sport: redundancy pay, what the total amount was that was paid to (a) men and (b) women.","<p>For exit payments in 2016-17, £151,325.36 was paid to women and £110,906.82 was paid to men.</p>","Trickett, Jon","Labour","Hemsworth","Hancock, Matt",2017-10-16,2017-10-25,21,"men, women, exit"
"36",36,"107871","To ask the Secretary of State for Digital, Culture, Media and Sport, with reference to the Government's publication Ministerial hospitality, 1 April to 30 June 2017, published on 13 October 2017, whether (a) representatives or employees of the firm which offered that hospitality and (b) lobbyists or contractors of those firms were present at those events.","<p>Ministers support a large number of events in the DCMS sectors and meet many representatives from those sectors, the specific attendees at events attended to by ministers is not centrally held.</p>","Trickett, Jon","Labour","Hemsworth","Hancock, Matt",2017-10-16,2017-10-24,1,"2017, report, publish"
"37",37,"108027","To ask the Secretary of State for Digital, Culture, Media and Sport, what recent discussions she has had with the Chancellor of the Exchequer on providing finance for the establishment of a Cultural Development Fund.","<p>The department is engaged in ongoing discussions with the Treasury regarding all new spending proposals.</p><p> </p><p> </p>","Brennan, Kevin","Labour","Cardiff West","Glen, John",2017-10-16,2017-10-19,22,"chancellor, exchequer, tax"
"38",38,"108072","To ask the Secretary of State for Digital, Culture, Media and Sport, when she plans to publish the Government's youth policy statement.","<p>DCMS conducted a series of regional workshops in March and April to discuss current issues for youth policy with representatives from the youth sector, local authorities and young people. The evidence gathered is being used by the Office for Civil Society across its youth policy work. Any announcement about youth policy will be made in due course.</p>","Green, Kate","Labour","Stretford and Urmston","Crouch, Tracey",2017-10-16,2017-10-24,23,"youth, communiqu, uphold"
"39",39,"107724","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment she has made of the effectiveness of the regulation of the video games industry.","<p>We are committed to protecting children from inappropriate content in video games. The supply of video games on physical media in the UK is regulated under the Video Recordings Act 1984. In 2012 the Government strengthened this law so that any such games must be referred to the VSC Rating Board for a Pegi age rating if they are unsuitable for children. A retailer convicted of supplying a game to someone not meeting the Pegi 12, 16 or 18 age requirement risks a fine or jail sentence. The Pegi ratings are also voluntarily applied by industry to many games and apps made available online.</p><p> </p><p>On 11 October 2017 we published our Internet Safety Strategy Green Paper, setting out our plans to make the UK the safest place in the world to be online. This includes how we will work with online platforms, game publishers and game developers and with agencies such as the VSC Rating Board to continue to improve online safety in games.</p>","Lavery, Ian","Labour","Wansbeck","Hancock, Matt",2017-10-13,2017-10-20,9,"industry, tourism, emergency"
"40",40,"107704","To ask the Secretary of State for Digital, Culture, Media and Sport, how many prosecutions under the Gambling Act 2005 there have been in each of the last five years.","<p>The number of defendants proceeded against at magistrates’ courts for offences under the Gambling Act 2005 in England and Wales, in each year between 2012 and 2016, can be viewed in the attached table.</p>","Watson, Tom","Labour","West Bromwich East","Crouch, Tracey",2017-10-13,2017-10-20,24,"complaints, 2005, five"
"41",41,"107700","To ask the Secretary of State for Digital, Culture, Media and Sport, whether her Department plans to publish its response to the consultation on commercial radio deregulation before the November 2017 Parliamentary recess.","<p>The commercial radio deregulation consultation closed on 8 May 2017. We intend on publishing the government response in due course.</p>","Stevens, Jo","Labour","Cardiff Central","Hancock, Matt",2017-10-13,2017-10-18,25,"radio, deregulate, commercial"
"42",42,"107444","To ask the Secretary of State for Digital, Culture, Media and Sport, whether her Department plans to strengthen existing regulations on the marketing of foods that are high in fat, salt and sugar to children before the 9pm watershed.","<p>Current advertising restrictions in the UK on high fat, salt or sugar (HFSS) products are among the toughest in the world. Strict new rules came into effect on 1 July banning the advertising of HFSS food or drink products in children’s media. These restrictions apply across all non-broadcast media including in print, cinema, online and in social media.</p><p> </p><p>In August we announced £5 million investment to fund a national institute for obesity research policy unit to provide a robust evidence base and deeper understanding of the causes of childhood obesity, including marketing to children and families. The unit’s findings will be fed into the department's future policy development and engagement.</p>","Green, Kate","Labour","Stretford and Urmston","Hancock, Matt",2017-10-12,2017-10-19,7,"9pm, food, sugar"
"43",43,"107324","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment she has made of the compliance by Premier League football clubs with regulations to facilitate access to their grounds for disabled people.","<p>I expect all sports and all clubs to take the necessary action to fulfil their legal obligations under the Equality Act of 2010 so that disabled people are not placed at a substantial disadvantage when accessing sports venues. We are expecting a final report from the Premier League this autumn on whether clubs have met their pledge to meet a number of agreed measures to improve accessibility for disabled spectators. The measures include all clubs to achieve compliance with the Accessible Stadia guide by August 2017, and for all clubs to ensure the appropriate number of wheelchair bays are located in their away sections (10% of their home provision).</p><p>The Equality and Human Rights Commission (EHRC) is the body responsible for enforcing the Equality Act 2010. Following the EHRC's call for evidence from Premier League clubs to assess their adherence to the terms of the Equality Act, if the EHRC suspect or believe that individual clubs are in breach of the 2010 Act, they will consider the use of their statutory powers in order to achieve compliance. All clubs failing to meet the minimum requirements were given a deadline of September to publish their plan of action and timetable for improvement or face an investigation. I support the EHRC's work to enforce the legislation and improve access for disabled people to sports grounds.</p>","Lucas, Ian","Labour","Wrexham","Crouch, Tracey",2017-10-12,2017-10-17,26,"football, association, club"
"44",44,"107311","To ask the Secretary of State for Digital, Culture, Media and Sport, what plans the Government has to mark the centenary of the Battle of Cambrai; and if she will make a statement.","<p>Whilst the Government has no plans to deliver a specific event to commemorate the Battle of Cambrai, the Royal Tank Regiment (RTR) will be commemorating the centenary of the battle over the weekend of 24 to 26 November, with a series of events for both serving and former members of the Regiment. They will include a Drumhead service at the Commonwealth War Graves Commission's Louverval Military Cemetery and a parade through Cambrai to mark the Regiment’s Freedom of the Town.</p>","Coaker, Vernon","Labour","Gedling","Glen, John",2017-10-12,2017-10-20,27,"adequacy, agreement, will"
"45",45,"107428","To ask the Secretary of State for Digital, Culture, Media and Sport, what information her Department holds on the number of complaints which Ofcom has received on BT Openreach in (a) 2015, (b) 2016 and (c) 2017 to date.","<p>We do not hold this information; however Ofcom’s quarterly complaints data are available here: https://www.ofcom.org.uk/research-and-data/multi-sector-research/telecoms-complaints-data</p>","Jarvis, Dan","Labour","Barnsley Central","Hancock, Matt",2017-10-12,2017-10-17,28,"bt, openreach, laid"
"46",46,"107438","To ask the Secretary of State for Digital, Culture, Media and Sport, what discussions she has had with broadcasters on restricting the marketing of foods that are high in fat, salt and sugar to children before the 9pm watershed.","<p>Current advertising restrictions in the UK on high fat, salt or sugar (HFSS) products are among the toughest in the world. Strict new rules came into effect on 1 July banning the advertising of HFSS food or drink products in children’s media. These restrictions apply across all non-broadcast media including in print, cinema, online and in social media.</p><p> </p><p>In August we announced £5 million investment to fund a national institute for obesity research policy unit to provide a robust evidence base and deeper understanding of the causes of childhood obesity, including marketing to children and families. The unit’s findings will be fed into the department's future policy development and engagement.</p>","Green, Kate","Labour","Stretford and Urmston","Hancock, Matt",2017-10-12,2017-10-19,7,"9pm, food, sugar"
